area_id,fold_id
2,2
5,0
9,1
10,3
11,3
12,0
13,2
16,3
17,0
18,2
19,0
20,4
21,2
22,3
28,0
29,1
32,3
33,2
34,0
35,1
36,2
37,2
38,2
39,4
40,4
41,4
42,3
43,0
44,4
45,3
46,1
47,0
48,4
49,4
50,0
51,2
52,4
53,1
54,2
55,0
56,1
57,4
58,2
59,3
60,4
61,0
62,2
63,1
64,2
65,0
66,2
67,2
68,0
69,3
70,1
71,0
72,3
73,4
74,0
75,3
76,0
77,4
78,1
79,3
80,0
81,1
82,2
83,4
84,2
85,3
86,0
87,2
88,4
89,4
90,2
91,0
92,2
93,1
94,2
95,1
96,4
97,1
98,0
99,3
100,4
101,0
102,4
103,4
104,4
105,2
106,2
107,4
108,1
109,3
110,4
111,1
112,2
113,1
114,4
122,4
126,2
127,1
128,3
132,1
133,2
134,2
136,3
149,3
150,0
157,2
158,1
159,4
160,3
161,1
162,4
165,4
166,2
167,1
168,2
169,2
170,3
174,4
175,1
177,4
178,0
180,2
181,3
183,1
184,4
187,4
189,4
190,1
191,2
198,2
200,3
201,3
205,4
206,3
210,2
211,4
212,2
213,0
216,0
217,1
223,1
224,1
226,3
228,3
229,4
230,4
231,1
232,4
233,0
234,3
235,1
237,2
239,0
242,2
243,1
250,0
251,3
253,0
254,2
255,3
258,3
259,1
260,4
261,2
263,4
264,4
269,2
271,2
274,2
277,2
280,4
282,1
283,4
284,2
285,2
286,2
287,4
290,1
291,1
296,1
298,0
300,2
302,0
304,0
305,1
313,4
314,1
315,3
316,0
317,1
319,2
322,3
323,1
330,4
331,0
333,4
334,1
335,4
337,0
338,4
340,0
342,2
343,1
344,4
347,2
353,4
354,2
364,0
366,4
367,3
368,1
370,1
374,4
375,2
376,2
377,3
387,2
389,3
390,1
391,3
392,0
393,3
396,3
407,3
408,3
409,2
410,1
413,0
416,4
417,0
420,4
423,1
435,1
436,3
437,2
438,1
441,0
443,1
444,2
445,2
446,4
451,2
452,3
455,0
456,3
458,0
459,2
461,0
462,1
463,1
464,4
471,1
472,4
473,4
474,2
475,3
476,1
480,1
481,2
482,0
483,1
485,3
492,2
493,1
494,1
495,0
496,0
499,2
500,1
504,4
507,4
508,4
509,3
510,4
512,1
513,1
517,3
518,3
519,3
520,0
521,3
522,2
523,4
529,4
531,2
534,3
535,4
536,4
537,3
538,2
539,1
541,0
545,4
546,4
547,1
548,1
549,3
550,2
551,0
552,0
553,2
555,3
556,2
557,4
561,1
562,2
564,0
565,0
568,1
570,2
571,4
573,1
575,1
577,0
578,1
580,0
581,1
582,2
583,3
584,4
585,4
586,2
587,3
589,3
590,0
591,3
592,1
593,2
594,2
598,1
602,2
603,4
604,3
605,2
606,1
607,3
608,3
609,4
611,0
613,3
614,2
615,2
616,2
618,4
619,3
620,0
623,2
625,0
626,1
628,3
629,2
630,3
631,0
632,3
633,0
634,1
635,3
636,1
637,0
638,1
639,1
640,3
641,1
642,0
643,4
644,3
645,4
646,3
647,2
648,4
649,2
650,2
651,4
652,4
654,2
655,2
658,2
659,2
660,2
661,4
664,0
665,2
667,0
668,4
669,4
670,2
671,1
672,2
673,3
674,4
675,4
676,0
677,2
678,0
679,4
680,0
681,3
682,2
683,1
684,1
685,2
687,3
688,1
689,3
690,1
691,2
692,2
694,3
695,0
697,1
698,3
699,2
700,0
701,3
702,1
703,3
704,0
705,2
706,2
707,4
708,2
709,1
710,3
711,0
712,2
715,4
716,4
717,0
721,1
722,3
723,1
724,1
726,1
727,3
730,1
731,2
732,1
733,2
734,1
735,0
736,4
737,0
738,4
739,2
742,4
748,3
749,4
752,2
753,0
754,1
755,3
757,3
758,2
759,1
760,1
761,4
762,2
765,0
766,2
768,3
769,0
770,1
771,0
772,1
773,3
775,4
776,3
777,1
779,1
780,3
781,1
782,3
783,3
784,0
785,0
786,1
787,3
789,1
793,0
794,1
795,2
796,1
797,0
798,0
799,4
800,0
801,3
806,0
807,2
815,2
816,1
817,1
818,2
820,2
821,3
825,2
828,0
829,1
835,3
837,1
840,3
841,0
842,1
843,2
844,4
845,3
846,4
847,1
848,1
850,1
851,3
852,2
853,2
854,3
855,2
857,3
858,0
860,1
865,2
867,0
870,2
871,4
872,0
875,2
876,0
877,0
878,0
882,1
883,3
884,0
892,3
893,1
894,3
895,4
896,2
897,4
898,3
899,4
900,3
901,4
902,4
903,0
904,1
905,4
906,0
913,1
914,3
915,4
916,0
917,0
918,0
919,4
921,3
925,0
926,2
927,4
928,4
929,0
930,4
931,3
932,2
933,1
936,3
937,1
938,0
941,2
942,3
945,2
946,3
947,3
948,2
949,3
950,1
951,3
952,1
954,4
955,0
956,1
957,2
962,0
965,3
966,2
968,3
969,0
971,0
972,0
973,1
981,4
983,1
984,3
985,4
994,3
995,0
996,0
997,4
999,4
1000,4
1001,1
1003,2
1004,3
1005,2
1007,2
1008,3
1009,4
1011,2
1013,2
1014,1
1015,4
1016,3
1017,0
1020,2
1023,0
1026,1
1027,3
1028,1
1032,1
1033,3
1034,0
1038,0
1039,4
1044,2
1045,1
1046,2
1047,2
1048,3
1049,1
1050,0
1053,3
1054,0
1057,4
