delta3,delta4,n_rows,ordinal_mae,balanced_accuracy,phase4_support,phase4_recall,phase3plus_precision,phase3plus_recall,distribution_discrepancy,actual_phase1_count,actual_phase2_count,actual_phase3_count,actual_phase4_count,actual_phase5_count,predicted_phase1_count,predicted_phase2_count,predicted_phase3_count,predicted_phase4_count,predicted_phase5_count,ordinal_mae_change,balanced_accuracy_change,phase4_recall_change,phase3plus_precision_change,phase3plus_recall_change,distribution_discrepancy_change,offset_l1,mae_improved,phase4_recall_improved,balanced_accuracy_not_lower,phase3plus_precision_within_tolerance,phase3plus_recall_within_tolerance,accepted,selection_rank,selected
0,0,959,0.35453597497393119,0.34705779246794871,48,0,0.76280834914611007,0.71785714285714286,0.11887382690302398,9,390,512,48,0,0,432,527,0,0,0,0,0,0,0,0,0,False,False,True,True,True,False,1,True
0,0.01,959,0.35453597497393119,0.34705779246794871,48,0,0.76280834914611007,0.71785714285714286,0.11887382690302398,9,390,512,48,0,0,432,527,0,0,0,0,0,0,0,0,0.01,False,False,True,True,True,False,<NA>,False
0,0.02,959,0.35766423357664234,0.34559294871794871,48,0,0.76280834914611007,0.71785714285714286,0.11261730969760166,9,390,512,48,0,0,432,524,3,0,0.0031282586027111536,-0.00146484375,0,0,0,-0.0062565172054223211,0.02,False,False,False,True,True,False,<NA>,False
0,0.029999999999999999,959,0.3607924921793535,0.34884815705128203,48,0.020833333333333332,0.76280834914611007,0.71785714285714286,0.10218978102189781,9,390,512,48,0,0,432,519,8,0,0.0062565172054223073,0.0017903645833333148,0.020833333333333332,0,0,-0.016684045881126167,0.029999999999999999,False,True,True,True,True,False,<NA>,False
0,0.040000000000000001,959,0.36913451511991657,0.3511268028846154,48,0.041666666666666664,0.76280834914611007,0.71785714285714286,0.087591240875912413,9,390,512,48,0,0,432,509,18,0,0.014598540145985384,0.0040690104166666852,0.041666666666666664,0,0,-0.031282586027111564,0.040000000000000001,False,True,True,True,True,False,<NA>,False
-0.01,0,959,0.37122002085505734,0.34028445512820515,48,0,0.76907216494845365,0.66607142857142854,0.17518248175182477,9,390,512,48,0,0,474,485,0,0,0.016684045881126153,-0.006773337339743557,0,0.0062638158023435864,-0.051785714285714324,0.056308654848800793,0.01,False,False,False,True,False,False,<NA>,False
-0.01,0.01,959,0.37122002085505734,0.34028445512820515,48,0,0.76907216494845365,0.66607142857142854,0.17518248175182477,9,390,512,48,0,0,474,485,0,0,0.016684045881126153,-0.006773337339743557,0,0.0062638158023435864,-0.051785714285714324,0.056308654848800793,0.02,False,False,False,True,False,False,<NA>,False
-0.01,0.02,959,0.3743482794577685,0.33881961137820515,48,0,0.76907216494845365,0.66607142857142854,0.17518248175182477,9,390,512,48,0,0,474,482,3,0,0.019812304483837306,-0.008238181089743557,0,0.0062638158023435864,-0.051785714285714324,0.056308654848800793,0.029999999999999999,False,False,False,True,False,False,<NA>,False
0,0.050000000000000003,959,0.37539103232533888,0.36756560496794871,48,0.125,0.76280834914611007,0.71785714285714286,0.087591240875912385,9,390,512,48,0,0,432,495,32,0,0.020855057351407691,0.0205078125,0.125,0,0,-0.031282586027111592,0.050000000000000003,False,True,True,True,True,False,<NA>,False
-0.02,0,959,0.37643378519290926,0.33964593349358974,48,0,0.7857142857142857,0.62857142857142856,0.25234619395203339,9,390,512,48,0,0,511,448,0,0,0.021897810218978075,-0.0074118589743589758,0,0.022905936568175633,-0.089285714285714302,0.13347236704900942,0.02,False,False,False,True,False,False,<NA>,False
-0.02,0.01,959,0.37643378519290926,0.33964593349358974,48,0,0.7857142857142857,0.62857142857142856,0.25234619395203339,9,390,512,48,0,0,511,448,0,0,0.021897810218978075,-0.0074118589743589758,0,0.022905936568175633,-0.089285714285714302,0.13347236704900942,0.029999999999999999,False,False,False,True,False,False,<NA>,False
-0.01,0.029999999999999999,959,0.37747653806047965,0.34207481971153847,48,0.020833333333333332,0.76907216494845365,0.66607142857142854,0.17518248175182483,9,390,512,48,0,0,474,477,8,0,0.02294056308654846,-0.0049829727564102422,0.020833333333333332,0.0062638158023435864,-0.051785714285714324,0.056308654848800849,0.040000000000000001,False,True,False,True,False,False,<NA>,False
-0.02,0.02,959,0.37956204379562042,0.33818108974358974,48,0,0.7857142857142857,0.62857142857142856,0.25234619395203339,9,390,512,48,0,0,511,445,3,0,0.025026068821689229,-0.0088767027243589758,0,0.022905936568175633,-0.089285714285714302,0.13347236704900942,0.040000000000000001,False,False,False,True,False,False,<NA>,False
0,0.059999999999999998,959,0.38164754953076119,0.37879607371794871,48,0.1875,0.76280834914611007,0.71785714285714286,0.087591240875912385,9,390,512,48,0,0,432,483,44,0,0.027111574556829998,0.03173828125,0.1875,0,0,-0.031282586027111592,0.059999999999999998,False,True,True,True,True,False,<NA>,False
-0.02,0.029999999999999999,959,0.38269030239833157,0.34143629807692305,48,0.020833333333333332,0.7857142857142857,0.62857142857142856,0.25234619395203339,9,390,512,48,0,0,511,440,8,0,0.028154327424400383,-0.005621494391025661,0.020833333333333332,0.022905936568175633,-0.089285714285714302,0.13347236704900942,0.050000000000000003,False,True,False,True,False,False,<NA>,False
