original_path,status,reason,bytes,sha256,archive_path
AGENTS.md,retain_code_support,"Code, configuration, documentation, tests or other non-presentation support",4101,,
CONTEXT.md,retain_code_support,"Code, configuration, documentation, tests or other non-presentation support",4100,,
INSTALL.md,retain_code_support,"Code, configuration, documentation, tests or other non-presentation support",7727,,
PROGRESS.md,retain_code_support,"Code, configuration, documentation, tests or other non-presentation support",1400,,
README.md,retain_code_support,"Code, configuration, documentation, tests or other non-presentation support",5772,,
RELEASE_ASSET_SHA256.txt,retain_code_support,"Code, configuration, documentation, tests or other non-presentation support",138,,
REPLICATION_PACKAGE.md,retain_code_support,"Code, configuration, documentation, tests or other non-presentation support",58394,,
requirements.txt,retain_code_support,"Code, configuration, documentation, tests or other non-presentation support",1038,,
run_replication.py,retain_code_support,"Code, configuration, documentation, tests or other non-presentation support",6133,,
1.Source Data/2022_alert_map_panel_2x3.png,retain_source,Source input or upstream data dependency; current map and diagnostics retained,959186,d0819b9b967d23a80955d6b97f9425be4a5e28ced08d17a7a9efed36db452935,
1.Source Data/2022_alert_map_panel_2x3_diagnostics.csv,retain_source,Source input or upstream data dependency; current map and diagnostics retained,414,d0925a1816f82a6b6d3c552b79abdfada874258826a85d95dc908b46a76de534,
1.Source Data/2022_alert_map_panel_2x3_minimum_severity.png,archive,Unselected map alternatives and their diagnostics; current SI Fig. 2 uses unsuffixed map,1433373,dfbb8271ef9dae20e032dde95b305e153cf11362f761d9a383b0a2b7cf7159de,0.Archived/2026-09-08_obsolete_presentation/1.Source Data/2022_alert_map_panel_2x3_minimum_severity.png
1.Source Data/2022_alert_map_panel_2x3_minimum_severity_diagnostics.csv,archive,Unselected map alternatives and their diagnostics; current SI Fig. 2 uses unsuffixed map,422,b2c0822ceeb7f98b3cabe927ad2bfbd7404dcd1f297921004986778ccf404e46,0.Archived/2026-09-08_obsolete_presentation/1.Source Data/2022_alert_map_panel_2x3_minimum_severity_diagnostics.csv
1.Source Data/2022_alert_map_panel_2x3_severity_aligned.png,archive,Unselected map alternatives and their diagnostics; current SI Fig. 2 uses unsuffixed map,1435787,99e77c41010386ebc5850e9acfc611b5db836902ec8dc2f21af5a197d2e94a6a,0.Archived/2026-09-08_obsolete_presentation/1.Source Data/2022_alert_map_panel_2x3_severity_aligned.png
1.Source Data/2022_alert_map_panel_2x3_severity_aligned_diagnostics.csv,archive,Unselected map alternatives and their diagnostics; current SI Fig. 2 uses unsuffixed map,375,25ff41b59ce18e3ae70bf6b1a5a2b13005ffe76b2d5e0d9cdae19f93b995bc68,0.Archived/2026-09-08_obsolete_presentation/1.Source Data/2022_alert_map_panel_2x3_severity_aligned_diagnostics.csv
1.Source Data/All_prediction.csv,retain_source,Source input or upstream data dependency; current map and diagnostics retained,86514,33849a3b58cdcb9e9fc311db4e937bd8f89c6127ea2dbedc1cdae0e502d32fce,
1.Source Data/All_prediction_cleaned.csv,retain_source,Source input or upstream data dependency; current map and diagnostics retained,40834,9dcd32d31fa03c34f2fb283efa7c9e39475e575a659cd3e6492a94fb40ebc349,
1.Source Data/All_prediction_country_phase3plus_population.csv,retain_source,Source input or upstream data dependency; current map and diagnostics retained,7306,a7d8006f65e7b30ae1813dca68ebf99e10986fa9bd7669870e712c2d1137a74a,
1.Source Data/All_prediction_truth_disagreements.csv,retain_source,Source input or upstream data dependency; current map and diagnostics retained,973,4f69ff6413f7241cb412044631c552a764de66b9d2cf30976423c78ab49a8334,
1.Source Data/All_prediction_updated.xlsx,retain_source,Source input or upstream data dependency; current map and diagnostics retained,46043,b9b963831907a48b18a8c941b8e05c97741434a612835dfd9c4f828f705d2dab,
1.Source Data/Dataset_Preparation.xlsx,retain_source,Source input or upstream data dependency; current map and diagnostics retained,13887,b23f3f02961c32b7440fdf38244ad97de464170d70c79136b2e06a220da47c8a,
1.Source Data/Forecasting_Analysis_010825.csv,retain_source,Source input or upstream data dependency; current map and diagnostics retained,5105614,60f17f079ab569060a29fd8c7af0d3f6feaab558f7a29a104c9a0e702172dc0e,
1.Source Data/Nowcasting_Analysis_010825.csv,retain_source,Source input or upstream data dependency; current map and diagnostics retained,9400232,d541f7c0c21c1878fcf8a74c99c953ddda200d0dfeda7365e7ff5934af8f550f,
1.Source Data/all_predictions_severity.ipynb,retain_source,Source input or upstream data dependency; current map and diagnostics retained,0,,
1.Source Data/area_country_lookup.csv,retain_source,Source input or upstream data dependency; current map and diagnostics retained,10118,01b58c577b53cbadd1258766244c071d8ef44759da92015566c5507d894f85a7,
1.Source Data/df_vis_nowacast.csv,retain_source,Source input or upstream data dependency; current map and diagnostics retained,41424,6fb2b2129e7e6f4d44bc8fd7da3dd3f5b7ddd780092bbe17bc9b5f78d003a5ac,
1.Source Data/error_analysis_forecasting_011525.csv,retain_source,Source input or upstream data dependency; current map and diagnostics retained,2405,a84f04cbc8c8fb12c2ce2ae5057e4e043b92ca92eff20583da593a3c0dffb990,
1.Source Data/forecasting_df_with_folds.csv,retain_source,Source input or upstream data dependency; current map and diagnostics retained,5100528,bec5075eaa1984af2378a600762b4463ef891f89b6b5e692c0a74c4b6e026236,
1.Source Data/forecasting_df_with_folds_5.csv,retain_source,Source input or upstream data dependency; current map and diagnostics retained,5100528,d7eeac32dba932c278451fdf730c4a8e96df378e01848f00b3457c14d57d386e,
1.Source Data/metric_frame.csv,retain_source,Source input or upstream data dependency; current map and diagnostics retained,300,e0b3f95b60eda3009021e09e28b97ce47fdea0072223be7b60b68ada9bbf4f9e,
1.Source Data/nowcasting_df_with_folds.csv,retain_source,Source input or upstream data dependency; current map and diagnostics retained,9448173,050c02f5b2528f4d27d1084445726ff7868269ee0572f1e9bfbe3880f4bde980,
1.Source Data/nowcasting_df_with_folds_5.csv,retain_source,Source input or upstream data dependency; current map and diagnostics retained,9448173,96a73cdb2ca198139a3ac551a9b550c44b4b5395a9a5a92497732be518a1b4b8,
1.Source Data/r2_frame_cv.csv,retain_source,Source input or upstream data dependency; current map and diagnostics retained,15261,2e614ad0da89f33b57991e6dab971fbaf9e15a2cc8d52daea7266566bb1e41fe,
1.Source Data/r2_frame_forecasting.csv,retain_source,Source input or upstream data dependency; current map and diagnostics retained,15686,1f165b8755b729751d177599837d021148766f472d81bb97e9f0af18eb2013fb,
1.Source Data/r2_frame_nowcasting.csv,retain_source,Source input or upstream data dependency; current map and diagnostics retained,15684,981deb2afb05c1864655e8ef23e8ca2337af21a01025bf7a9a3bd12d18633dd8,
1.Source Data/old_graph/2022_actual_alert_top20_percent.png,existing_archive,Already separated from active results,564045,48b9e5feec895fc3469e27ffddee1d5d366ab9ab3099036b55b3af441dee1952,
1.Source Data/old_graph/2022_actual_alert_top30_percent.png,existing_archive,Already separated from active results,565000,b255c39570652ab54187bf1b78608605f6514a373b7ed908f4965f40d8b9e235,
