original_path,current_path,disposition,sha256,reason
1.Source Data/All_prediction_cleaned.csv,0.Archived/2026-09-15_obsolete_historical_results/1.Source Data/All_prediction_cleaned.csv,archived_obsolete,9dcd32d31fa03c34f2fb283efa7c9e39475e575a659cd3e6492a94fb40ebc349,No filename-specific active reader found. DEFAULT_SHEET All_prediction_cleaned and generic user-supplied Excel support do not select these artifacts.
1.Source Data/All_prediction_updated.xlsx,0.Archived/2026-09-15_obsolete_historical_results/1.Source Data/All_prediction_updated.xlsx,archived_obsolete,b9b963831907a48b18a8c941b8e05c97741434a612835dfd9c4f828f705d2dab,No filename-specific active reader found. DEFAULT_SHEET All_prediction_cleaned and generic user-supplied Excel support do not select these artifacts.
1.Source Data/error_analysis_forecasting_011525.csv,0.Archived/2026-09-15_obsolete_historical_results/1.Source Data/error_analysis_forecasting_011525.csv,archived_obsolete,a84f04cbc8c8fb12c2ce2ae5057e4e043b92ca92eff20583da593a3c0dffb990,"No active reader found by exact name, stem, partial construction tokens, or directory/glob reader inspection."
1.Source Data/forecasting_df_with_folds.csv,0.Archived/2026-09-15_obsolete_historical_results/1.Source Data/forecasting_df_with_folds.csv,archived_obsolete,bec5075eaa1984af2378a600762b4463ef891f89b6b5e692c0a74c4b6e026236,"No active reader found by exact name, stem, partial construction tokens, or directory/glob reader inspection."
1.Source Data/forecasting_df_with_folds_5.csv,0.Archived/2026-09-15_obsolete_historical_results/1.Source Data/forecasting_df_with_folds_5.csv,archived_obsolete,d7eeac32dba932c278451fdf730c4a8e96df378e01848f00b3457c14d57d386e,"No active reader found by exact name, stem, partial construction tokens, or directory/glob reader inspection."
1.Source Data/metric_frame.csv,0.Archived/2026-09-15_obsolete_historical_results/1.Source Data/metric_frame.csv,archived_obsolete,e0b3f95b60eda3009021e09e28b97ce47fdea0072223be7b60b68ada9bbf4f9e,"No active reader found by exact name, stem, partial construction tokens, or directory/glob reader inspection."
1.Source Data/nowcasting_df_with_folds.csv,0.Archived/2026-09-15_obsolete_historical_results/1.Source Data/nowcasting_df_with_folds.csv,archived_obsolete,050c02f5b2528f4d27d1084445726ff7868269ee0572f1e9bfbe3880f4bde980,"No active reader found by exact name, stem, partial construction tokens, or directory/glob reader inspection."
1.Source Data/nowcasting_df_with_folds_5.csv,0.Archived/2026-09-15_obsolete_historical_results/1.Source Data/nowcasting_df_with_folds_5.csv,archived_obsolete,96a73cdb2ca198139a3ac551a9b550c44b4b5395a9a5a92497732be518a1b4b8,"No active reader found by exact name, stem, partial construction tokens, or directory/glob reader inspection."
1.Source Data/old_graph/2022_actual_alert_top20_percent.png,0.Archived/2026-09-15_obsolete_historical_results/1.Source Data/old_graph/2022_actual_alert_top20_percent.png,archived_obsolete,48b9e5feec895fc3469e27ffddee1d5d366ab9ab3099036b55b3af441dee1952,"No active reader found by exact name, stem, partial construction tokens, or directory/glob reader inspection."
1.Source Data/old_graph/2022_actual_alert_top30_percent.png,0.Archived/2026-09-15_obsolete_historical_results/1.Source Data/old_graph/2022_actual_alert_top30_percent.png,archived_obsolete,b255c39570652ab54187bf1b78608605f6514a373b7ed908f4965f40d8b9e235,"No active reader found by exact name, stem, partial construction tokens, or directory/glob reader inspection."
1.Source Data/old_graph/2022_forecast_alert_top20_percent.png,0.Archived/2026-09-15_obsolete_historical_results/1.Source Data/old_graph/2022_forecast_alert_top20_percent.png,archived_obsolete,5172e8b12f38127bc7b0082a1235f8ab9cf9179b0a2021f03bb29654f60c3170,"No active reader found by exact name, stem, partial construction tokens, or directory/glob reader inspection."
1.Source Data/old_graph/2022_forecast_alert_top30_percent.png,0.Archived/2026-09-15_obsolete_historical_results/1.Source Data/old_graph/2022_forecast_alert_top30_percent.png,archived_obsolete,ee6fa1aa23ad0a78722764f2bc8b26af34da08e3f521d6852ae99ce0b2a32fc3,"No active reader found by exact name, stem, partial construction tokens, or directory/glob reader inspection."
1.Source Data/r2_frame_cv.csv,0.Archived/2026-09-15_obsolete_historical_results/1.Source Data/r2_frame_cv.csv,archived_obsolete,2e614ad0da89f33b57991e6dab971fbaf9e15a2cc8d52daea7266566bb1e41fe,"No active reader of 1.Source Data/r2_frame_cv.csv found. Table1 notebook only writes produced_graph/r2_frame_cv.csv; Figure1 contemporaneous values now read sidecar, not this CSV."
1.Source Data/r2_frame_forecasting.csv,1.Source Data/r2_frame_forecasting.csv,retained_active_dependency,1f165b8755b729751d177599837d021148766f472d81bb97e9f0af18eb2013fb,"Active data reader plus default anchor read, protected hash read and readiness requirement. produced_graph writer is a different path."
1.Source Data/r2_frame_nowcasting.csv,1.Source Data/r2_frame_nowcasting.csv,retained_active_dependency,981deb2afb05c1864655e8ef23e8ca2337af21a01025bf7a9a3bd12d18633dd8,"Active data reader plus default anchor read, protected hash read and readiness requirement. produced_graph writer is a different path."
