evaluation_protocol,temporal_interpretation,held_out_country,cutoff,n_train,n_test,n_excluded,train_area_count,test_area_count,train_country_count,test_country_count,train_date_min,train_date_max,test_date_min,test_date_max,train_key_sha256,test_key_sha256,train_excludes_held_country,test_only_held_country,train_dates_before_cutoff,test_dates_on_or_after_cutoff,max_train_date_before_min_test_date,temporal_violation_count,layer1_feature_count,layer2_feature_count,fews_ipc_ha_in_layer1,random_state,estimator_n_jobs,checkpoint_reused,model,nonpositive_cumulative_prediction_count
fixed_hyperparameter_strict_temporal_loco,held_country_and_post_cutoff_labels_excluded_from_training,AFG,2022-01-01,3856,143,1576,1044,73,26,1,2017-01-01,2021-12-01,2022-03-01,2022-09-01,9643cfbd3602bf77394137fe4ba1a767453afc50f6c87de57c35159a706fa4c0,0cf704a0fa783c9d4e8f9856f17c6103be0725f325c1edd5ae587f4570a5d6b1,True,True,True,True,True,0,106,69,True,0,1,True,Forecasting,0
fixed_hyperparameter_strict_temporal_loco,held_country_and_post_cutoff_labels_excluded_from_training,BDI,2022-01-01,4261,31,1283,1109,12,26,1,2017-01-01,2021-12-01,2022-04-01,2022-07-01,2c92bb5b159c619d12de67a217d6326a6e31024933b284d09ebb795b836de146,333305298e96b5146c13a3439c18e95d75f37f09d1c76b1fbdfd9dbd7529bf1f,True,True,True,True,True,0,106,69,True,0,1,True,Forecasting,0
fixed_hyperparameter_strict_temporal_loco,held_country_and_post_cutoff_labels_excluded_from_training,CAF,2022-01-01,4147,34,1394,1035,28,26,1,2017-01-01,2021-12-01,2022-04-01,2022-10-01,4852ea89d8dd5175369106927ceffba627a83b190ff4d2a8b2628a9efa1ac738,4fa07adb091a3febd0ddd36711158cc7989703c92498fa1f1cae2b84ee001e86,True,True,True,True,True,0,106,69,True,0,1,True,Forecasting,0
fixed_hyperparameter_strict_temporal_loco,held_country_and_post_cutoff_labels_excluded_from_training,COD,2022-01-01,3881,124,1570,1007,77,26,1,2017-01-01,2021-12-01,2022-02-01,2022-10-01,874ea1618dae98f18bd8af19113777ce59dcfb23809b85c598484017db03726d,f8fe5f8a9b06c58eb1efc1b18accc6f3e8760f7eca55331ef9261ed33fd1c1e8,True,True,True,True,True,0,106,69,True,0,1,True,Forecasting,0
fixed_hyperparameter_strict_temporal_loco,held_country_and_post_cutoff_labels_excluded_from_training,DJI,2022-01-01,4403,1,1171,1119,1,26,1,2017-01-01,2021-12-01,2022-10-01,2022-10-01,b69cb64239cae72f65321ca926f66d3a98cb5fbc1ae57bd57fd3d537f4400c52,f7a09c9cfb7d7d60333ba7a8fac762e42f99e8f6be8aab98f9b11aef73c675d1,True,True,True,True,True,0,106,69,True,0,1,True,Forecasting,0
fixed_hyperparameter_strict_temporal_loco,held_country_and_post_cutoff_labels_excluded_from_training,DOM,2022-01-01,4404,3,1168,1120,3,26,1,2017-01-01,2021-12-01,2022-09-01,2022-10-01,de8f2ef5d788af08f17ae42e9595704bc4f169b5fdd1d54bcdc01a1c242fd17c,dcc170e9575cb80849feebdaa9bb127f7151651a6d25508c79b6886ff2c44022,True,True,True,True,True,0,106,69,True,0,1,True,Forecasting,0
fixed_hyperparameter_strict_temporal_loco,held_country_and_post_cutoff_labels_excluded_from_training,ETH,2022-01-01,4356,7,1212,1092,6,26,1,2017-01-01,2021-12-01,2022-05-01,2022-10-01,0b91110e4ff18f66ea7e6052be167703f5a9e68475855ea90d83e1925d8bae07,ec107e904f9ef2898cbd5f232d7b63559fc804b24ffa53b242391c2bebaf1b82,True,True,True,True,True,0,106,69,True,0,1,True,Forecasting,0
fixed_hyperparameter_strict_temporal_loco,held_country_and_post_cutoff_labels_excluded_from_training,GTM,2022-01-01,4096,31,1448,1074,31,26,1,2017-01-01,2021-12-01,2022-03-01,2022-03-01,4b8fb93c576ec3d465bb99cb060aa3c92732dbaf2033aa2d346ab2161569f809,646d8a289fdc0ec43018caf32049ce087ac7e20c9e3848fa6af8fb12899c328e,True,True,True,True,True,0,106,69,True,0,1,True,Forecasting,0
fixed_hyperparameter_strict_temporal_loco,held_country_and_post_cutoff_labels_excluded_from_training,HND,2022-01-01,4248,9,1318,1100,9,26,1,2017-01-01,2021-12-01,2022-03-01,2022-03-01,ad6da312571372995f4a70b5f31dc0732f6122834e99e3e8dc7630265e9ab3b4,9cdfad2e0737d46462a67823e404cca74768f4aadabe1b4a3f3b6bd6e80186f4,True,True,True,True,True,0,106,69,True,0,1,True,Forecasting,0
fixed_hyperparameter_strict_temporal_loco,held_country_and_post_cutoff_labels_excluded_from_training,HTI,2022-01-01,4384,14,1177,1108,9,26,1,2017-01-01,2021-12-01,2022-09-01,2022-10-01,76b51df86b49ea65a0cb5f9cf5c4fc84cb64f7dc446d64273fe5aef422d83c07,ab59458ec32f2dfb48260273b68e5579746fa5e7a060726c27401f718d550bb3,True,True,True,True,True,0,106,69,True,0,1,True,Forecasting,0
