area_id,country_code_3
2,DOM
5,DOM
9,DOM
10,HTI
11,HTI
12,HTI
13,HTI
16,HTI
17,HTI
18,HTI
19,HTI
20,HTI
21,HTI
22,HTI
28,HTI
29,HTI
32,HTI
33,HTI
34,HND
35,HND
36,HND
37,HND
38,HND
39,HND
40,HND
41,HND
42,HND
43,HND
44,HND
45,SLV
46,HND
47,SLV
48,HND
49,HND
50,SLV
51,HND
52,HND
53,SLV
54,SLV
55,HND
56,HND
57,SLV
58,GTM
59,GTM
60,SLV
61,HND
62,HND
63,SLV
64,HND
65,SLV
66,SLV
67,GTM
68,GTM
69,GTM
70,GTM
71,GTM
72,SLV
73,SLV
74,GTM
75,GTM
76,GTM
77,SLV
78,GTM
79,GTM
80,GTM
81,GTM
82,GTM
83,GTM
84,GTM
85,GTM
86,GTM
87,GTM
88,GTM
89,GTM
90,GTM
91,GTM
92,GTM
93,GTM
94,GTM
95,GTM
96,GTM
97,GTM
98,GTM
99,GTM
100,GTM
101,GTM
102,GTM
103,GTM
104,GTM
105,GTM
106,GTM
107,GTM
108,GTM
109,GTM
110,GTM
111,GTM
112,GTM
113,GTM
114,GTM
122,COD
126,COD
127,COD
128,COD
132,CAF
133,CAF
134,CAF
136,COD
149,COD
150,COD
157,COD
158,CAF
159,CAF
160,COD
161,COD
162,CAF
165,CAF
166,CAF
167,CAF
168,CAF
169,COD
170,CAF
174,CAF
175,CAF
177,CAF
178,CAF
180,CAF
181,CAF
183,CAF
184,CAF
187,CAF
189,COD
190,COD
191,CAF
198,CAF
200,CAF
201,CAF
205,CAF
206,CAF
210,CAF
211,CAF
212,CAF
213,CAF
216,CAF
217,CAF
223,CAF
224,CAF
226,CAF
228,CAF
229,CAF
230,COD
231,CAF
232,CAF
233,CAF
234,CAF
235,CAF
237,CAF
239,CAF
242,COD
243,ZAF
250,COD
251,CAF
253,CAF
254,CAF
255,CAF
258,CAF
259,CAF
260,CAF
261,COD
263,COD
264,COD
269,CAF
271,CAF
274,CAF
277,CAF
280,CAF
282,CAF
283,CAF
284,COD
285,COD
286,CAF
287,CAF
290,CAF
291,CAF
296,COD
298,CAF
300,CAF
302,CAF
304,CAF
305,CAF
313,CAF
314,CAF
315,COD
316,COD
317,COD
319,CAF
322,CAF
323,CAF
330,COD
331,COD
333,COD
334,CAF
335,CAF
337,COD
338,COD
340,CAF
342,CAF
343,COD
344,COD
347,CAF
353,ZMB
354,ZMB
364,CAF
366,CAF
367,COD
368,COD
370,COD
374,COD
375,COD
376,COD
377,COD
387,COD
389,CAF
390,CAF
391,COD
392,COD
393,COD
396,CAF
407,COD
408,COD
409,COD
410,COD
413,COD
416,CAF
417,COD
420,COD
423,CAF
435,CAF
436,CAF
437,SSD
438,SSD
441,CAF
443,COD
444,COD
445,COD
446,COD
451,COD
452,COD
455,COD
456,COD
458,CAF
459,COD
461,CAF
462,COD
463,CAF
464,COD
471,COD
472,COD
473,SSD
474,SSD
475,SSD
476,SSD
480,COD
481,COD
482,COD
483,COD
485,ZAF
492,COD
493,CAF
494,COD
495,SSD
496,SSD
499,SSD
500,SSD
504,LSO
507,COD
508,COD
509,COD
510,COD
512,SSD
513,SSD
517,ZMB
518,COD
519,COD
520,SSD
521,SSD
522,SSD
523,SSD
529,LSO
531,ZAF
534,COD
535,SSD
536,SSD
537,COD
538,COD
539,COD
541,ZAF
545,SSD
546,SSD
547,COD
548,ZMB
549,ZMB
550,SSD
551,SSD
552,ZAF
553,COD
555,COD
556,SSD
557,SSD
561,ZMB
562,ZMB
564,COD
565,COD
568,SSD
570,COD
571,COD
573,ZMB
575,ZMB
577,SSD
578,SSD
580,ZMB
581,ZMB
582,ZMB
583,SSD
584,SSD
585,ZMB
586,COD
587,COD
589,ZMB
590,ZMB
591,COD
592,COD
593,COD
594,COD
598,COD
602,COD
603,ZMB
604,ZMB
605,SSD
606,SSD
607,COD
608,COD
609,COD
611,COD
613,COD
614,COD
615,COD
616,COD
618,COD
619,SSD
620,SSD
623,COD
625,COD
626,COD
628,SSD
629,SSD
630,ZMB
631,SSD
632,SSD
633,ZMB
634,COD
635,SSD
636,SSD
637,SSD
638,SSD
639,SSD
640,SSD
641,COD
642,SSD
643,SSD
644,COD
645,COD
646,COD
647,COD
648,ZAF
649,COD
650,COD
651,BDI
652,BDI
654,COD
655,COD
658,COD
659,ZWE
660,COD
661,COD
664,SSD
665,SSD
667,COD
668,SSD
669,SSD
670,SSD
671,SSD
672,SSD
673,SSD
674,BDI
675,BDI
676,BDI
677,BDI
678,SSD
679,SSD
680,COD
681,COD
682,SSD
683,SSD
684,COD
685,COD
687,SSD
688,SSD
689,SSD
690,SSD
691,SSD
692,SSD
694,SSD
695,SSD
697,SSD
698,SSD
699,BDI
700,BDI
701,SSD
702,SSD
703,BDI
704,BDI
705,ZAF
706,COD
707,BDI
708,BDI
709,SSD
710,SSD
711,SSD
712,SSD
715,SSD
716,COD
717,COD
721,SSD
722,SSD
723,SSD
724,SSD
726,COD
727,ZAF
730,SSD
731,SSD
732,SSD
733,SSD
734,ZAF
735,SSD
736,SSD
737,UGA
738,UGA
739,ZAF
742,MOZ
748,SSD
749,SSD
752,UGA
753,UGA
754,UGA
755,UGA
757,SSD
758,SSD
759,SWZ
760,SSD
761,SWZ
762,SSD
765,UGA
766,UGA
768,SSD
769,SSD
770,SWZ
771,SSD
772,SSD
773,SWZ
775,ZMB
776,SWZ
777,SWZ
779,SSD
780,SSD
781,SSD
782,SSD
783,SSD
784,SSD
785,SSD
786,SSD
787,UGA
789,SSD
793,SDN
794,SWZ
795,UGA
796,UGA
797,UGA
798,SWZ
799,SWZ
800,SSD
801,SSD
806,SSD
807,SSD
