task,method,bootstrap_id,sampled_country_count,sample_row_count,sampled_countries_sha256,phase45_precision_delta,phase45_recall_delta,phase45_f1_delta,phase45_f2_delta,accuracy_delta,balanced_accuracy_delta,macro_f1_delta,ordinal_mae_delta
Forecasting,legacy_direct_exact_phase4_050,1,27,1325,1eb22879a2c9e264075b89e5338fdf74c05721838bb2c03ce840bc21d734c0dd,-0.4642857142857143,0.1217391304347826,0.19254883047986496,0.14284253760534832,0.0007547169811320531,0.021679833767548784,0.038523502158663986,-0.0007547169811320531
Forecasting,direct_phase45_unweighted,1,27,1325,1eb22879a2c9e264075b89e5338fdf74c05721838bb2c03ce840bc21d734c0dd,-0.73615635179153094,0.69565217391304357,0.36664487661382583,0.51718530375833949,-0.051320754716981165,0.10324976003881572,0.065189494827732924,0.11018867924528303
Forecasting,direct_phase45_sqrt_balance,1,27,1325,1eb22879a2c9e264075b89e5338fdf74c05721838bb2c03ce840bc21d734c0dd,-0.80846325167037858,0.73913043478260876,0.28772315969674739,0.46220131774565748,-0.12754716981132075,0.086831141160462838,0.03634945134068332,0.20981132075471703
Forecasting,direct_phase45_full_balance,1,27,1325,1eb22879a2c9e264075b89e5338fdf74c05721838bb2c03ce840bc21d734c0dd,-0.81069958847736623,0.79130434782608705,0.28891502667967184,0.47541194113357765,-0.1418867924528302,0.091491134620861364,0.033443971892153312,0.22867924528301892
Forecasting,legacy_direct_exact_phase4_050,2,27,1917,014165657517801159dac5ed754f335881068ce03b89ab2bbc3025a87d0abcd1,-0.34920634920634919,0.094736842105263161,0.15912755416141419,0.11310750494495821,0.0073030777256128943,0.01587055244477753,0.032605670977365359,-0.0073030777256129498
Forecasting,direct_phase45_unweighted,2,27,1917,014165657517801159dac5ed754f335881068ce03b89ab2bbc3025a87d0abcd1,-0.53737658674189004,0.84999999999999998,0.57641348550439464,0.71936250174672167,0.0062597809076682109,0.12008641594285963,0.10772483188814266,0.030255607720396427
Forecasting,direct_phase45_sqrt_balance,2,27,1917,014165657517801159dac5ed754f335881068ce03b89ab2bbc3025a87d0abcd1,-0.62777777777777777,0.86842105263157887,0.49746347402597402,0.67575531770762765,-0.07563901930099115,0.097116529253560235,0.074989244351449019,0.12258737610850284
Forecasting,direct_phase45_full_balance,2,27,1917,014165657517801159dac5ed754f335881068ce03b89ab2bbc3025a87d0abcd1,-0.63836477987421381,0.89473684210526316,0.49126735333631888,0.68085797209006449,-0.087636932707355286,0.097138574136942768,0.070956426694176261,0.14032342201356285
Forecasting,legacy_direct_exact_phase4_050,3,27,1359,cfc70be898d9eca820a9712b13b4fa66b8a979365827ba4be2b1f192b8525048,<NA>,0.19101123595505617,0.30357142857142855,0.22427440633245382,0.0080941869021339263,0.046109873610888863,0.061306013335894943,-0.0080941869021339263
Forecasting,direct_phase45_unweighted,3,27,1359,cfc70be898d9eca820a9712b13b4fa66b8a979365827ba4be2b1f192b8525048,<NA>,0.5168539325842697,0.24864864864864866,0.36106750392464676,-0.084621044885945573,0.085128050506417918,0.039188587220988585,0.13907284768211919
Forecasting,direct_phase45_sqrt_balance,3,27,1359,cfc70be898d9eca820a9712b13b4fa66b8a979365827ba4be2b1f192b8525048,<NA>,0.6179775280898876,0.21868787276341947,0.35714285714285715,-0.14790286975717437,0.084395805899799392,0.022686240290546944,0.22369389256806477
Forecasting,direct_phase45_full_balance,3,27,1359,cfc70be898d9eca820a9712b13b4fa66b8a979365827ba4be2b1f192b8525048,<NA>,0.6741573033707865,0.21390374331550802,0.36231884057971014,-0.17733627667402502,0.086118734385960571,0.015772959767129141,0.25901398086828548
Forecasting,legacy_direct_exact_phase4_050,4,27,1093,44032d1e22e442d4b80164ae6e40747f76dad0848564c1c2d3cb6f7d0a9e46a5,<NA>,0.16363636363636364,0.24324324324324326,0.18828451882845187,-0.00091491308325708509,0.037493790362642776,0.048063085509351983,0.00091491308325708509
