task,model_component,feature_order,feature_name,source_dtype,feature_definition,native_missingness_preserved,feature_order_sha256
Forecasting,direct_forecasting_classifier,1,elevation,int64,native_source_column,True,6851d83c47ea084e63fcaeba6a6a892be108e2725af3834837a8322023f60a0f
Forecasting,direct_forecasting_classifier,2,infra_index_m12_l12,float64,native_source_column,True,6851d83c47ea084e63fcaeba6a6a892be108e2725af3834837a8322023f60a0f
Forecasting,direct_forecasting_classifier,3,infra_index_s12_l12,float64,native_source_column,True,6851d83c47ea084e63fcaeba6a6a892be108e2725af3834837a8322023f60a0f
Forecasting,direct_forecasting_classifier,4,market_access,int64,native_source_column,True,6851d83c47ea084e63fcaeba6a6a892be108e2725af3834837a8322023f60a0f
Forecasting,direct_forecasting_classifier,5,nitrogen_5-15cm_mean,float64,native_source_column,True,6851d83c47ea084e63fcaeba6a6a892be108e2725af3834837a8322023f60a0f
Forecasting,direct_forecasting_classifier,6,phh2o_5-15cm_mean,float64,native_source_column,True,6851d83c47ea084e63fcaeba6a6a892be108e2725af3834837a8322023f60a0f
Forecasting,direct_forecasting_classifier,7,cec_5-15cm_mean,float64,native_source_column,True,6851d83c47ea084e63fcaeba6a6a892be108e2725af3834837a8322023f60a0f
Forecasting,direct_forecasting_classifier,8,cfvo_5-15cm_mean,float64,native_source_column,True,6851d83c47ea084e63fcaeba6a6a892be108e2725af3834837a8322023f60a0f
Forecasting,direct_forecasting_classifier,9,soc_5-15cm_mean,float64,native_source_column,True,6851d83c47ea084e63fcaeba6a6a892be108e2725af3834837a8322023f60a0f
Forecasting,direct_forecasting_classifier,10,aez_groupid_4000,int64,native_source_column,True,6851d83c47ea084e63fcaeba6a6a892be108e2725af3834837a8322023f60a0f
Forecasting,direct_forecasting_classifier,11,aez_groupid_7000,int64,native_source_column,True,6851d83c47ea084e63fcaeba6a6a892be108e2725af3834837a8322023f60a0f
Forecasting,direct_forecasting_classifier,12,aez_groupid_9000,int64,native_source_column,True,6851d83c47ea084e63fcaeba6a6a892be108e2725af3834837a8322023f60a0f
Forecasting,direct_forecasting_classifier,13,aez_groupid_10000,int64,native_source_column,True,6851d83c47ea084e63fcaeba6a6a892be108e2725af3834837a8322023f60a0f
Forecasting,direct_forecasting_classifier,14,aez_groupid_12000,int64,native_source_column,True,6851d83c47ea084e63fcaeba6a6a892be108e2725af3834837a8322023f60a0f
Forecasting,direct_forecasting_classifier,15,aez_groupid_17000,int64,native_source_column,True,6851d83c47ea084e63fcaeba6a6a892be108e2725af3834837a8322023f60a0f
Forecasting,direct_forecasting_classifier,16,aez_groupid_19000,int64,native_source_column,True,6851d83c47ea084e63fcaeba6a6a892be108e2725af3834837a8322023f60a0f
Forecasting,direct_forecasting_classifier,17,aez_groupid_25000,int64,native_source_column,True,6851d83c47ea084e63fcaeba6a6a892be108e2725af3834837a8322023f60a0f
Forecasting,direct_forecasting_classifier,18,aez_groupid_30000,int64,native_source_column,True,6851d83c47ea084e63fcaeba6a6a892be108e2725af3834837a8322023f60a0f
