task,method,method_role,selection_status,primary_selected,n_rows,positive_support,negative_support,actual_phase4_support,actual_phase5_support,predicted_positive_count,true_positive,false_positive,false_negative,true_negative,phase45_precision,phase45_recall,phase45_f1,phase45_f2,phase45_pr_auc,true_rescue_actual_phase4,true_rescue_actual_phase5,false_promotion_actual_phase1,false_promotion_actual_phase2,false_promotion_actual_phase3,false_promotion_actual_phase12,total_promotions,false_promotions_per_100_gate_rows
Forecasting,frozen_base,frozen_reference,not_applicable,False,1066,114,952,112,2,0,0,0,114,952,<NA>,0,0,0,<NA>,0,0,0,0,0,0,0,0
Forecasting,legacy_direct_exact_phase4_050,legacy_reporting_only,not_applicable,False,1066,114,952,112,2,22,13,9,101,943,0.59090909090909094,0.11403508771929824,0.19117647058823528,0.13598326359832635,0.40366549284397191,13,0,0,0,9,0,22,0.84427767354596628
Forecasting,direct_phase45_unweighted,candidate_sensitivity,selected,False,1066,114,952,112,2,298,80,218,34,734,0.26845637583892618,0.70175438596491224,0.38834951456310679,0.5305039787798409,0.46350514490618555,78,2,1,62,155,63,298,20.45028142589118
Forecasting,direct_phase45_sqrt_balance,candidate_sensitivity,selected,True,1066,114,952,112,2,415,85,330,29,622,0.20481927710843373,0.74561403508771928,0.32136105860113423,0.48794489092996557,0.44298575735845019,83,2,5,80,245,85,415,30.956848030018762
Forecasting,direct_phase45_full_balance,candidate_sensitivity,selected,False,1066,114,952,112,2,457,91,366,23,586,0.19912472647702406,0.79824561403508776,0.31873905429071803,0.49835706462212487,0.41960064588834084,89,2,5,89,272,94,457,34.333958724202624
Nowcasting,frozen_base,frozen_reference,not_applicable,False,1064,114,950,112,2,0,0,0,114,950,<NA>,0,0,0,<NA>,0,0,0,0,0,0,0,0
Nowcasting,legacy_direct_exact_phase4_050,legacy_reporting_only,not_applicable,False,1064,114,950,112,2,22,13,9,101,941,0.59090909090909094,0.11403508771929824,0.19117647058823528,0.13598326359832635,0.40373657042035288,13,0,0,0,9,0,22,0.84586466165413532
Nowcasting,direct_phase45_unweighted,candidate_sensitivity,selected,False,1064,114,950,112,2,299,80,219,34,731,0.26755852842809363,0.70175438596491224,0.38740920096852299,0.5298013245033113,0.46366290856800296,78,2,1,60,158,61,299,20.582706766917294
Nowcasting,direct_phase45_sqrt_balance,candidate_sensitivity,selected,True,1064,114,950,112,2,617,95,522,19,428,0.1539708265802269,0.83333333333333337,0.25991792065663477,0.44268406337371857,0.4433719430870286,93,2,12,117,393,129,617,49.060150375939848
Nowcasting,direct_phase45_full_balance,candidate_sensitivity,selected,False,1064,114,950,112,2,458,91,367,23,583,0.19868995633187772,0.79824561403508776,0.31818181818181818,0.49781181619256015,0.41973143924033585,89,2,5,88,274,93,458,34.492481203007522
