population_scope,task,method,actual_binary,predicted_binary,count,actual_row_total,actual_row_share
gate,Contemporaneous,direct_phase45_unweighted,0,0,2562,3358,0.76295413936867185
gate,Contemporaneous,direct_phase45_unweighted,0,1,796,3358,0.23704586063132818
gate,Contemporaneous,direct_phase45_unweighted,1,0,97,430,0.2255813953488372
gate,Contemporaneous,direct_phase45_unweighted,1,1,333,430,0.77441860465116275
full_oof,Contemporaneous,direct_phase45_unweighted,0,0,4268,5079,0.84032289820830874
full_oof,Contemporaneous,direct_phase45_unweighted,0,1,811,5079,0.15967710179169128
full_oof,Contemporaneous,direct_phase45_unweighted,1,0,99,496,0.19959677419354838
full_oof,Contemporaneous,direct_phase45_unweighted,1,1,397,496,0.80040322580645162
gate,Contemporaneous,direct_phase45_sqrt_balance,0,0,2414,3358,0.71888028588445507
gate,Contemporaneous,direct_phase45_sqrt_balance,0,1,944,3358,0.28111971411554498
gate,Contemporaneous,direct_phase45_sqrt_balance,1,0,76,430,0.17674418604651163
gate,Contemporaneous,direct_phase45_sqrt_balance,1,1,354,430,0.82325581395348835
full_oof,Contemporaneous,direct_phase45_sqrt_balance,0,0,4120,5079,0.81118330379996062
full_oof,Contemporaneous,direct_phase45_sqrt_balance,0,1,959,5079,0.18881669620003938
full_oof,Contemporaneous,direct_phase45_sqrt_balance,1,0,78,496,0.15725806451612903
full_oof,Contemporaneous,direct_phase45_sqrt_balance,1,1,418,496,0.842741935483871
gate,Contemporaneous,direct_phase45_full_balance,0,0,2687,3358,0.80017867778439544
gate,Contemporaneous,direct_phase45_full_balance,0,1,671,3358,0.19982132221560453
gate,Contemporaneous,direct_phase45_full_balance,1,0,109,430,0.25348837209302327
gate,Contemporaneous,direct_phase45_full_balance,1,1,321,430,0.74651162790697678
full_oof,Contemporaneous,direct_phase45_full_balance,0,0,4393,5079,0.86493404213427838
full_oof,Contemporaneous,direct_phase45_full_balance,0,1,686,5079,0.13506595786572159
full_oof,Contemporaneous,direct_phase45_full_balance,1,0,111,496,0.22379032258064516
full_oof,Contemporaneous,direct_phase45_full_balance,1,1,385,496,0.77620967741935487
