task,model_component,feature_order,feature_name,source_dtype,native_missingness_preserved,feature_order_sha256
Contemporaneous,direct_contemporaneous_phase45_classifier,1,elevation,int64,True,61d485e042f77d028737359c00c2567035b9565ed8ab55374f2fbd24ea33f41f
Contemporaneous,direct_contemporaneous_phase45_classifier,2,CPI,float64,True,61d485e042f77d028737359c00c2567035b9565ed8ab55374f2fbd24ea33f41f
Contemporaneous,direct_contemporaneous_phase45_classifier,3,GDP,float64,True,61d485e042f77d028737359c00c2567035b9565ed8ab55374f2fbd24ea33f41f
Contemporaneous,direct_contemporaneous_phase45_classifier,4,infra_index,float64,True,61d485e042f77d028737359c00c2567035b9565ed8ab55374f2fbd24ea33f41f
Contemporaneous,direct_contemporaneous_phase45_classifier,5,WFP_Price_Change,float64,True,61d485e042f77d028737359c00c2567035b9565ed8ab55374f2fbd24ea33f41f
Contemporaneous,direct_contemporaneous_phase45_classifier,6,WFP_Price_Volatility,float64,True,61d485e042f77d028737359c00c2567035b9565ed8ab55374f2fbd24ea33f41f
Contemporaneous,direct_contemporaneous_phase45_classifier,7,GOSIF_GPP_m12,float64,True,61d485e042f77d028737359c00c2567035b9565ed8ab55374f2fbd24ea33f41f
Contemporaneous,direct_contemporaneous_phase45_classifier,8,infra_index_m12,float64,True,61d485e042f77d028737359c00c2567035b9565ed8ab55374f2fbd24ea33f41f
Contemporaneous,direct_contemporaneous_phase45_classifier,9,WFP_Price_Change_m12,float64,True,61d485e042f77d028737359c00c2567035b9565ed8ab55374f2fbd24ea33f41f
Contemporaneous,direct_contemporaneous_phase45_classifier,10,WFP_Price_Volatility_m12,float64,True,61d485e042f77d028737359c00c2567035b9565ed8ab55374f2fbd24ea33f41f
Contemporaneous,direct_contemporaneous_phase45_classifier,11,infra_index_s12,float64,True,61d485e042f77d028737359c00c2567035b9565ed8ab55374f2fbd24ea33f41f
Contemporaneous,direct_contemporaneous_phase45_classifier,12,WFP_Price_Change_s12,float64,True,61d485e042f77d028737359c00c2567035b9565ed8ab55374f2fbd24ea33f41f
Contemporaneous,direct_contemporaneous_phase45_classifier,13,WFP_Price_Volatility_s12,float64,True,61d485e042f77d028737359c00c2567035b9565ed8ab55374f2fbd24ea33f41f
Contemporaneous,direct_contemporaneous_phase45_classifier,14,market_access,int64,True,61d485e042f77d028737359c00c2567035b9565ed8ab55374f2fbd24ea33f41f
Contemporaneous,direct_contemporaneous_phase45_classifier,15,fatalities_battles,float64,True,61d485e042f77d028737359c00c2567035b9565ed8ab55374f2fbd24ea33f41f
Contemporaneous,direct_contemporaneous_phase45_classifier,16,fatalities_explosions,float64,True,61d485e042f77d028737359c00c2567035b9565ed8ab55374f2fbd24ea33f41f
Contemporaneous,direct_contemporaneous_phase45_classifier,17,fatalities_violence,float64,True,61d485e042f77d028737359c00c2567035b9565ed8ab55374f2fbd24ea33f41f
Contemporaneous,direct_contemporaneous_phase45_classifier,18,event_count_battles,float64,True,61d485e042f77d028737359c00c2567035b9565ed8ab55374f2fbd24ea33f41f
Contemporaneous,direct_contemporaneous_phase45_classifier,19,event_count_explosions,float64,True,61d485e042f77d028737359c00c2567035b9565ed8ab55374f2fbd24ea33f41f
Contemporaneous,direct_contemporaneous_phase45_classifier,20,event_count_violence,float64,True,61d485e042f77d028737359c00c2567035b9565ed8ab55374f2fbd24ea33f41f
Contemporaneous,direct_contemporaneous_phase45_classifier,21,fatalities_battles_w5,float64,True,61d485e042f77d028737359c00c2567035b9565ed8ab55374f2fbd24ea33f41f
Contemporaneous,direct_contemporaneous_phase45_classifier,22,fatalities_explosions_w5,float64,True,61d485e042f77d028737359c00c2567035b9565ed8ab55374f2fbd24ea33f41f
Contemporaneous,direct_contemporaneous_phase45_classifier,23,fatalities_violence_w5,float64,True,61d485e042f77d028737359c00c2567035b9565ed8ab55374f2fbd24ea33f41f
Contemporaneous,direct_contemporaneous_phase45_classifier,24,event_count_battles_w5,float64,True,61d485e042f77d028737359c00c2567035b9565ed8ab55374f2fbd24ea33f41f
Contemporaneous,direct_contemporaneous_phase45_classifier,25,event_count_explosions_w5,float64,True,61d485e042f77d028737359c00c2567035b9565ed8ab55374f2fbd24ea33f41f
Contemporaneous,direct_contemporaneous_phase45_classifier,26,event_count_violence_w5,float64,True,61d485e042f77d028737359c00c2567035b9565ed8ab55374f2fbd24ea33f41f
Contemporaneous,direct_contemporaneous_phase45_classifier,27,fatalities_battles_w10,float64,True,61d485e042f77d028737359c00c2567035b9565ed8ab55374f2fbd24ea33f41f
Contemporaneous,direct_contemporaneous_phase45_classifier,28,fatalities_explosions_w10,float64,True,61d485e042f77d028737359c00c2567035b9565ed8ab55374f2fbd24ea33f41f
Contemporaneous,direct_contemporaneous_phase45_classifier,29,fatalities_violence_w10,float64,True,61d485e042f77d028737359c00c2567035b9565ed8ab55374f2fbd24ea33f41f
Contemporaneous,direct_contemporaneous_phase45_classifier,30,event_count_battles_w10,float64,True,61d485e042f77d028737359c00c2567035b9565ed8ab55374f2fbd24ea33f41f
Contemporaneous,direct_contemporaneous_phase45_classifier,31,event_count_explosions_w10,float64,True,61d485e042f77d028737359c00c2567035b9565ed8ab55374f2fbd24ea33f41f
Contemporaneous,direct_contemporaneous_phase45_classifier,32,event_count_violence_w10,float64,True,61d485e042f77d028737359c00c2567035b9565ed8ab55374f2fbd24ea33f41f
Contemporaneous,direct_contemporaneous_phase45_classifier,33,fatalities_battles_m12,float64,True,61d485e042f77d028737359c00c2567035b9565ed8ab55374f2fbd24ea33f41f
Contemporaneous,direct_contemporaneous_phase45_classifier,34,fatalities_explosions_m12,float64,True,61d485e042f77d028737359c00c2567035b9565ed8ab55374f2fbd24ea33f41f
Contemporaneous,direct_contemporaneous_phase45_classifier,35,fatalities_violence_m12,float64,True,61d485e042f77d028737359c00c2567035b9565ed8ab55374f2fbd24ea33f41f
Contemporaneous,direct_contemporaneous_phase45_classifier,36,event_count_battles_m12,float64,True,61d485e042f77d028737359c00c2567035b9565ed8ab55374f2fbd24ea33f41f
Contemporaneous,direct_contemporaneous_phase45_classifier,37,event_count_explosions_m12,float64,True,61d485e042f77d028737359c00c2567035b9565ed8ab55374f2fbd24ea33f41f
Contemporaneous,direct_contemporaneous_phase45_classifier,38,event_count_violence_m12,float64,True,61d485e042f77d028737359c00c2567035b9565ed8ab55374f2fbd24ea33f41f
Contemporaneous,direct_contemporaneous_phase45_classifier,39,fatalities_battles_w5_m12,float64,True,61d485e042f77d028737359c00c2567035b9565ed8ab55374f2fbd24ea33f41f
Contemporaneous,direct_contemporaneous_phase45_classifier,40,fatalities_explosions_w5_m12,float64,True,61d485e042f77d028737359c00c2567035b9565ed8ab55374f2fbd24ea33f41f
Contemporaneous,direct_contemporaneous_phase45_classifier,41,fatalities_violence_w5_m12,float64,True,61d485e042f77d028737359c00c2567035b9565ed8ab55374f2fbd24ea33f41f
Contemporaneous,direct_contemporaneous_phase45_classifier,42,event_count_battles_w5_m12,float64,True,61d485e042f77d028737359c00c2567035b9565ed8ab55374f2fbd24ea33f41f
Contemporaneous,direct_contemporaneous_phase45_classifier,43,event_count_explosions_w5_m12,float64,True,61d485e042f77d028737359c00c2567035b9565ed8ab55374f2fbd24ea33f41f
Contemporaneous,direct_contemporaneous_phase45_classifier,44,event_count_violence_w5_m12,float64,True,61d485e042f77d028737359c00c2567035b9565ed8ab55374f2fbd24ea33f41f
Contemporaneous,direct_contemporaneous_phase45_classifier,45,fatalities_battles_w10_m12,float64,True,61d485e042f77d028737359c00c2567035b9565ed8ab55374f2fbd24ea33f41f
Contemporaneous,direct_contemporaneous_phase45_classifier,46,fatalities_explosions_w10_m12,float64,True,61d485e042f77d028737359c00c2567035b9565ed8ab55374f2fbd24ea33f41f
Contemporaneous,direct_contemporaneous_phase45_classifier,47,fatalities_violence_w10_m12,float64,True,61d485e042f77d028737359c00c2567035b9565ed8ab55374f2fbd24ea33f41f
Contemporaneous,direct_contemporaneous_phase45_classifier,48,event_count_battles_w10_m12,float64,True,61d485e042f77d028737359c00c2567035b9565ed8ab55374f2fbd24ea33f41f
Contemporaneous,direct_contemporaneous_phase45_classifier,49,event_count_explosions_w10_m12,float64,True,61d485e042f77d028737359c00c2567035b9565ed8ab55374f2fbd24ea33f41f
Contemporaneous,direct_contemporaneous_phase45_classifier,50,event_count_violence_w10_m12,float64,True,61d485e042f77d028737359c00c2567035b9565ed8ab55374f2fbd24ea33f41f
Contemporaneous,direct_contemporaneous_phase45_classifier,51,chirps_z_score,float64,True,61d485e042f77d028737359c00c2567035b9565ed8ab55374f2fbd24ea33f41f
Contemporaneous,direct_contemporaneous_phase45_classifier,52,temperature_z_score,float64,True,61d485e042f77d028737359c00c2567035b9565ed8ab55374f2fbd24ea33f41f
Contemporaneous,direct_contemporaneous_phase45_classifier,53,nitrogen_5-15cm_mean,float64,True,61d485e042f77d028737359c00c2567035b9565ed8ab55374f2fbd24ea33f41f
Contemporaneous,direct_contemporaneous_phase45_classifier,54,phh2o_5-15cm_mean,float64,True,61d485e042f77d028737359c00c2567035b9565ed8ab55374f2fbd24ea33f41f
Contemporaneous,direct_contemporaneous_phase45_classifier,55,cec_5-15cm_mean,float64,True,61d485e042f77d028737359c00c2567035b9565ed8ab55374f2fbd24ea33f41f
Contemporaneous,direct_contemporaneous_phase45_classifier,56,cfvo_5-15cm_mean,float64,True,61d485e042f77d028737359c00c2567035b9565ed8ab55374f2fbd24ea33f41f
Contemporaneous,direct_contemporaneous_phase45_classifier,57,soc_5-15cm_mean,float64,True,61d485e042f77d028737359c00c2567035b9565ed8ab55374f2fbd24ea33f41f
Contemporaneous,direct_contemporaneous_phase45_classifier,58,aez_groupid_4000,int64,True,61d485e042f77d028737359c00c2567035b9565ed8ab55374f2fbd24ea33f41f
Contemporaneous,direct_contemporaneous_phase45_classifier,59,aez_groupid_7000,int64,True,61d485e042f77d028737359c00c2567035b9565ed8ab55374f2fbd24ea33f41f
