model,n_test,actual_phase3plus_count,predicted_phase3plus_count,true_positive,false_positive,false_negative,true_negative,phase3plus_precision,phase3plus_recall,overall_accuracy,phase3plus_r2,fold_id,n_train,n_train_areas,n_test_areas,train_excludes_held_areas,test_only_held_areas
Forecasting,1187,713,790,649,141,64,333,0.8215189873417722,0.91023842917251052,0.74304970513900592,0.69305290440053757,0,4388,958,240,True,True
Forecasting,1038,682,755,641,114,41,242,0.84900662251655634,0.93988269794721413,0.74373795761078998,0.72065584410701455,1,4537,958,240,True,True
Forecasting,1203,727,808,674,134,53,342,0.83415841584158412,0.92709766162310869,0.74231088944305901,0.7112552091522546,2,4372,958,240,True,True
Forecasting,1066,655,758,610,148,45,263,0.80474934036939316,0.93129770992366412,0.73076923076923073,0.73005127365931366,3,4509,959,239,True,True
Forecasting,1081,632,716,580,136,52,313,0.81005586592178769,0.91772151898734178,0.73635522664199815,0.68081299185673172,4,4494,959,239,True,True
Nowcasting,1187,713,784,649,135,64,339,0.82780612244897955,0.91023842917251052,0.74641954507160913,0.70793371263315119,0,4388,958,240,True,True
Nowcasting,1038,682,754,643,111,39,245,0.85278514588859411,0.94281524926686222,0.75529865125240847,0.72976628771372765,1,4537,958,240,True,True
Nowcasting,1203,727,796,672,124,55,352,0.84422110552763818,0.92434662998624484,0.75145469659185371,0.72124966041547767,2,4372,958,240,True,True
Nowcasting,1066,655,743,605,138,50,273,0.8142664872139973,0.92366412213740456,0.73545966228893056,0.73898287197902368,3,4509,959,239,True,True
Nowcasting,1081,632,715,579,136,53,313,0.80979020979020977,0.91613924050632911,0.73543015726179461,0.69369936068404803,4,4494,959,239,True,True
