model,country_code_3,n_test,actual_phase3plus_count,predicted_phase3plus_count,true_positive,false_positive,false_negative,true_negative,phase3plus_precision,phase3plus_recall,overall_accuracy,phase3plus_r2,precision_undefined_reason,recall_undefined_reason,r2_undefined_reason,nonpositive_cumulative_prediction_count
Forecasting,AFG,692,610,692,610,82,0,0,0.881503,1.000000,0.770231,-0.130340,,,,0
Forecasting,BDI,175,58,89,44,45,14,72,0.494382,0.758621,0.640000,0.099483,,,,0
Forecasting,CAF,292,229,285,229,56,0,7,0.803509,1.000000,0.657534,0.043830,,,,0
Forecasting,COD,648,376,482,331,151,45,121,0.686722,0.880319,0.621914,0.056005,,,,0
Forecasting,DJI,3,0,3,0,3,0,0,0.000000,,0.000000,-16.310000,,no_actual_phase3plus,,0
Forecasting,DOM,4,2,4,2,2,0,0,0.500000,1.000000,0.250000,0.155151,,,,0
Forecasting,ETH,56,29,56,29,27,0,0,0.517857,1.000000,0.500000,-1.588425,,,,0
Forecasting,GTM,340,148,210,122,88,26,104,0.580952,0.824324,0.650000,-0.149631,,,,0
Forecasting,HND,166,72,79,46,33,26,61,0.582278,0.638889,0.614458,0.272785,,,,0
Forecasting,HTI,35,34,32,32,0,2,1,1.000000,0.941176,0.771429,-1.399659,,,,0
Forecasting,KEN,152,74,125,67,58,7,20,0.536000,0.905405,0.539474,0.261934,,,,0
Forecasting,LBN,9,8,9,8,1,0,0,0.888889,1.000000,0.888889,-0.824059,,,,0
Forecasting,LSO,3,3,3,3,0,0,0,1.000000,1.000000,1.000000,-0.033333,,,,0
Forecasting,MDG,69,44,43,31,12,13,13,0.720930,0.704545,0.478261,-0.391331,,,,0
Forecasting,MOZ,106,55,49,28,21,27,30,0.571429,0.509091,0.490566,-0.138568,,,,0
Forecasting,MWI,11,2,11,2,9,0,0,0.181818,1.000000,0.181818,-1.422125,,,,0
Forecasting,PAK,155,141,155,141,14,0,0,0.909677,1.000000,0.845161,-0.009153,,,,0
Forecasting,SDN,11,11,11,11,0,0,0,1.000000,1.000000,0.636364,-0.567480,,,,0
Forecasting,SLV,149,34,64,18,46,16,69,0.281250,0.529412,0.530201,-0.051554,,,,0
Forecasting,SOM,1222,456,1183,446,737,10,29,0.377008,0.978070,0.347791,-0.520598,,,,0
Forecasting,SSD,665,555,656,550,106,5,4,0.838415,0.990991,0.550376,-0.413646,,,,0
Forecasting,SWZ,30,8,25,8,17,0,5,0.320000,1.000000,0.433333,-0.790544,,,,0
Forecasting,TJK,10,10,10,10,0,0,0,1.000000,1.000000,0.300000,-3.241403,,,,0
Forecasting,TZA,1,0,1,0,1,0,0,0.000000,,0.000000,,,no_actual_phase3plus,insufficient_observations,0
Forecasting,UGA,134,88,115,82,33,6,13,0.713043,0.931818,0.671642,0.240877,,,,0
Forecasting,YEM,385,349,385,349,36,0,0,0.906494,1.000000,0.758442,-0.952939,,,,0
Forecasting,ZAF,26,9,23,9,14,0,3,0.391304,1.000000,0.461538,-0.888898,,,,0
Forecasting,ZMB,24,4,24,4,20,0,0,0.166667,1.000000,0.083333,-0.844864,,,,0
Forecasting,ZWE,2,0,0,0,0,0,2,,,1.000000,-0.183432,no_predicted_phase3plus,no_actual_phase3plus,,0
Nowcasting,AFG,692,610,692,610,82,0,0,0.881503,1.000000,0.770231,-0.141237,,,,0
Nowcasting,BDI,175,58,86,44,42,14,75,0.511628,0.758621,0.657143,0.124718,,,,0
Nowcasting,CAF,292,229,285,229,56,0,7,0.803509,1.000000,0.654110,0.052297,,,,0
Nowcasting,COD,648,376,483,335,148,41,124,0.693582,0.890957,0.629630,0.087681,,,,0
Nowcasting,DJI,3,0,3,0,3,0,0,0.000000,,0.000000,-16.310000,,no_actual_phase3plus,,0
Nowcasting,DOM,4,2,4,2,2,0,0,0.500000,1.000000,0.250000,0.121711,,,,0
Nowcasting,ETH,56,29,56,29,27,0,0,0.517857,1.000000,0.500000,-1.537411,,,,0
Nowcasting,GTM,340,148,209,122,87,26,105,0.583732,0.824324,0.652941,-0.144529,,,,0
Nowcasting,HND,166,72,77,46,31,26,63,0.597403,0.638889,0.626506,0.295396,,,,0
Nowcasting,HTI,35,34,34,34,0,0,1,1.000000,1.000000,0.828571,-1.381205,,,,0
Nowcasting,KEN,152,74,118,65,53,9,25,0.550847,0.878378,0.552632,0.285364,,,,0
Nowcasting,LBN,9,8,9,8,1,0,0,0.888889,1.000000,0.888889,-0.795545,,,,0
Nowcasting,LSO,3,3,3,3,0,0,0,1.000000,1.000000,1.000000,-0.033333,,,,0
Nowcasting,MDG,69,44,47,33,14,11,11,0.702128,0.750000,0.478261,-0.364485,,,,0
Nowcasting,MOZ,106,55,45,25,20,30,31,0.555556,0.454545,0.481132,-0.160550,,,,0
Nowcasting,MWI,11,2,9,2,7,0,2,0.222222,1.000000,0.363636,-1.210886,,,,0
Nowcasting,PAK,155,141,155,141,14,0,0,0.909677,1.000000,0.845161,-0.035474,,,,0
Nowcasting,SDN,11,11,11,11,0,0,0,1.000000,1.000000,0.636364,-0.553404,,,,0
Nowcasting,SLV,149,34,41,16,25,18,90,0.390244,0.470588,0.657718,0.097059,,,,0
Nowcasting,SOM,1222,456,1177,444,733,12,33,0.377230,0.973684,0.348609,-0.593109,,,,0
Nowcasting,SSD,665,555,652,548,104,7,6,0.840491,0.987387,0.547368,-0.382201,,,,0
Nowcasting,SWZ,30,8,26,8,18,0,4,0.307692,1.000000,0.400000,-0.772537,,,,0
Nowcasting,TJK,10,10,10,10,0,0,0,1.000000,1.000000,0.300000,-2.869474,,,,0
Nowcasting,TZA,1,0,1,0,1,0,0,0.000000,,0.000000,,,no_actual_phase3plus,insufficient_observations,0
Nowcasting,UGA,134,88,113,82,31,6,15,0.725664,0.931818,0.679104,0.241049,,,,0
Nowcasting,YEM,385,349,385,349,36,0,0,0.906494,1.000000,0.758442,-0.816753,,,,0
Nowcasting,ZAF,26,9,21,7,14,2,3,0.333333,0.777778,0.384615,-0.724011,,,,0
Nowcasting,ZMB,24,4,24,4,20,0,0,0.166667,1.000000,0.083333,-0.842767,,,,0
Nowcasting,ZWE,2,0,0,0,0,0,2,,,1.000000,0.041420,no_predicted_phase3plus,no_actual_phase3plus,,0
