model,area_id,country_code_3,n_test_dates,accuracy,precision,recall,R2(p3),actual_phase3plus_count,predicted_phase3plus_count,true_positive,false_positive,false_negative,true_negative,precision_undefined_reason,recall_undefined_reason,r2_undefined_reason,nonpositive_cumulative_prediction_count
Forecasting,2,DOM,1,0,0,,,0,1,0,1,0,0,,no_actual_phase3plus,insufficient_observations,0
Forecasting,5,DOM,1,0,0,,,0,1,0,1,0,0,,no_actual_phase3plus,insufficient_observations,0
Forecasting,9,DOM,1,0,1,1,,1,1,1,0,0,0,,,insufficient_observations,0
Forecasting,10,HTI,2,0.5,1,1,-1.10664827,2,2,2,0,0,0,,,,0
Forecasting,11,HTI,2,0.5,1,1,-1.217451492,2,2,2,0,0,0,,,,0
Forecasting,12,HTI,2,0.5,1,1,-1.217451492,2,2,2,0,0,0,,,,0
Forecasting,13,HTI,1,1,1,1,,1,1,1,0,0,0,,,insufficient_observations,0
Forecasting,16,HTI,1,1,,,,0,0,0,0,0,1,no_predicted_phase3plus,no_actual_phase3plus,insufficient_observations,0
Forecasting,19,HTI,1,1,1,1,,1,1,1,0,0,0,,,insufficient_observations,0
Forecasting,20,HTI,1,1,1,1,,1,1,1,0,0,0,,,insufficient_observations,0
Forecasting,21,HTI,2,1,1,1,-1.01512289,2,2,2,0,0,0,,,,0
Forecasting,22,HTI,2,1,1,1,-1.01512289,2,2,2,0,0,0,,,,0
Forecasting,38,HND,1,1,1,1,,1,1,1,0,0,0,,,insufficient_observations,0
Forecasting,41,HND,1,1,1,1,,1,1,1,0,0,0,,,insufficient_observations,0
Forecasting,42,HND,1,1,1,1,,1,1,1,0,0,0,,,insufficient_observations,0
Forecasting,45,SLV,1,1,1,1,,1,1,1,0,0,0,,,insufficient_observations,0
Forecasting,47,SLV,1,1,1,1,,1,1,1,0,0,0,,,insufficient_observations,0
Forecasting,48,HND,1,1,1,1,,1,1,1,0,0,0,,,insufficient_observations,0
Forecasting,49,HND,1,1,1,1,,1,1,1,0,0,0,,,insufficient_observations,0
Forecasting,50,SLV,1,1,1,1,,1,1,1,0,0,0,,,insufficient_observations,0
Forecasting,51,HND,1,1,1,1,,1,1,1,0,0,0,,,insufficient_observations,0
Forecasting,52,HND,1,1,1,1,,1,1,1,0,0,0,,,insufficient_observations,0
Forecasting,54,SLV,1,1,1,1,,1,1,1,0,0,0,,,insufficient_observations,0
Forecasting,55,HND,1,1,1,1,,1,1,1,0,0,0,,,insufficient_observations,0
Forecasting,56,HND,1,1,1,1,,1,1,1,0,0,0,,,insufficient_observations,0
Forecasting,57,SLV,1,0,0,,,0,1,0,1,0,0,,no_actual_phase3plus,insufficient_observations,0
Forecasting,58,GTM,1,1,1,1,,1,1,1,0,0,0,,,insufficient_observations,0
Forecasting,59,GTM,1,1,1,1,,1,1,1,0,0,0,,,insufficient_observations,0
Forecasting,60,SLV,1,0,0,,,0,1,0,1,0,0,,no_actual_phase3plus,insufficient_observations,0
Forecasting,63,SLV,1,1,1,1,,1,1,1,0,0,0,,,insufficient_observations,0
Forecasting,65,SLV,1,0,0,,,0,1,0,1,0,0,,no_actual_phase3plus,insufficient_observations,0
Forecasting,66,SLV,1,0,0,,,0,1,0,1,0,0,,no_actual_phase3plus,insufficient_observations,0
Forecasting,67,GTM,1,1,1,1,,1,1,1,0,0,0,,,insufficient_observations,0
Forecasting,68,GTM,1,1,1,1,,1,1,1,0,0,0,,,insufficient_observations,0
Forecasting,69,GTM,1,1,1,1,,1,1,1,0,0,0,,,insufficient_observations,0
Forecasting,70,GTM,1,1,1,1,,1,1,1,0,0,0,,,insufficient_observations,0
Forecasting,71,GTM,1,1,1,1,,1,1,1,0,0,0,,,insufficient_observations,0
Forecasting,72,SLV,1,0,0,,,0,1,0,1,0,0,,no_actual_phase3plus,insufficient_observations,0
Forecasting,73,SLV,1,0,0,,,0,1,0,1,0,0,,no_actual_phase3plus,insufficient_observations,0
Forecasting,74,GTM,1,1,,,,0,0,0,0,0,1,no_predicted_phase3plus,no_actual_phase3plus,insufficient_observations,0
Forecasting,75,GTM,1,0,0,,,0,1,0,1,0,0,,no_actual_phase3plus,insufficient_observations,0
Forecasting,76,GTM,1,1,,,,0,0,0,0,0,1,no_predicted_phase3plus,no_actual_phase3plus,insufficient_observations,0
Forecasting,77,SLV,1,0,0,,,0,1,0,1,0,0,,no_actual_phase3plus,insufficient_observations,0
Forecasting,78,GTM,1,0,0,,,0,1,0,1,0,0,,no_actual_phase3plus,insufficient_observations,0
Forecasting,79,GTM,1,0,0,,,0,1,0,1,0,0,,no_actual_phase3plus,insufficient_observations,0
Forecasting,80,GTM,1,1,1,1,,1,1,1,0,0,0,,,insufficient_observations,0
Forecasting,81,GTM,1,1,1,1,,1,1,1,0,0,0,,,insufficient_observations,0
Forecasting,82,GTM,1,0,0,,,0,1,0,1,0,0,,no_actual_phase3plus,insufficient_observations,0
Forecasting,83,GTM,1,0,0,,,0,1,0,1,0,0,,no_actual_phase3plus,insufficient_observations,0
Forecasting,86,GTM,1,1,,,,0,0,0,0,0,1,no_predicted_phase3plus,no_actual_phase3plus,insufficient_observations,0
Forecasting,87,GTM,1,0,0,,,0,1,0,1,0,0,,no_actual_phase3plus,insufficient_observations,0
Forecasting,90,GTM,1,1,,,,0,0,0,0,0,1,no_predicted_phase3plus,no_actual_phase3plus,insufficient_observations,0
Forecasting,91,GTM,1,1,,,,0,0,0,0,0,1,no_predicted_phase3plus,no_actual_phase3plus,insufficient_observations,0
Forecasting,92,GTM,1,1,,,,0,0,0,0,0,1,no_predicted_phase3plus,no_actual_phase3plus,insufficient_observations,0
Forecasting,93,GTM,1,0,0,,,0,1,0,1,0,0,,no_actual_phase3plus,insufficient_observations,0
Forecasting,94,GTM,1,0,0,,,0,1,0,1,0,0,,no_actual_phase3plus,insufficient_observations,0
Forecasting,99,GTM,1,0,0,,,0,1,0,1,0,0,,no_actual_phase3plus,insufficient_observations,0
Forecasting,100,GTM,1,0,0,,,0,1,0,1,0,0,,no_actual_phase3plus,insufficient_observations,0
Forecasting,109,GTM,1,0,,0,,1,0,0,0,1,0,no_predicted_phase3plus,,insufficient_observations,0
Forecasting,110,GTM,1,0,,0,,1,0,0,0,1,0,no_predicted_phase3plus,,insufficient_observations,0
Forecasting,111,GTM,1,0,0,,,0,1,0,1,0,0,,no_actual_phase3plus,insufficient_observations,0
Forecasting,112,GTM,1,0,0,,,0,1,0,1,0,0,,no_actual_phase3plus,insufficient_observations,0
Forecasting,113,GTM,1,0,,0,,1,0,0,0,1,0,no_predicted_phase3plus,,insufficient_observations,0
Forecasting,114,GTM,1,0,,0,,1,0,0,0,1,0,no_predicted_phase3plus,,insufficient_observations,0
Forecasting,136,COD,1,1,,,,0,0,0,0,0,1,no_predicted_phase3plus,no_actual_phase3plus,insufficient_observations,0
