experiment,threshold_percent,task,model,removed_feature_count,removed_country_count,removed_country_iso3,overall_accuracy,phase3plus_precision,phase3plus_recall,phase3above_r2,n_train,n_test,status,reason,delta_overall_accuracy_vs_xgboost,delta_phase3plus_precision_vs_xgboost,delta_phase3plus_recall_vs_xgboost,delta_phase3above_r2_vs_xgboost
feature_removal,0,Forecasting,XGBoost,0,0,,0.6495726495726496,0.77507029053420806,0.9408418657565415,-0.33563210302241298,4405,1170,generated,,0,0,0,0
feature_removal,0,Forecasting,Ensemble OLS,0,0,,0.53333333333333333,0.78395860284605434,0.68941979522184305,-1.0125963196228143,4405,1170,generated,,-0.11623931623931627,0.0088883123118462803,-0.25142207053469845,-0.67696421660040129
feature_removal,0,Forecasting,Ordered Probit,0,0,,0.49059829059829058,0.79264705882352937,0.61319681456200226,-1.2001337039513036,4405,1170,generated,,-0.15897435897435902,0.01757676828932131,-0.32764505119453924,-0.86450160092889061
feature_removal,0,Nowcasting,XGBoost,0,0,,0.65384615384615385,0.77746478873239433,0.94197952218430037,-0.31733577284402381,4405,1170,generated,,0,0,0,0
feature_removal,0,Nowcasting,Ensemble OLS,0,0,,0.54529914529914525,0.79427083333333337,0.69397042093287831,-0.9531332465430491,4405,1170,generated,,-0.10854700854700861,0.016806044600939041,-0.24800910125142206,-0.63579747369902528
feature_removal,0,Nowcasting,Ordered Probit,0,0,,0.48974358974358972,0.82529118136439272,0.56427758816837315,-1.2321522817634847,4405,1170,generated,,-0.16410256410256413,0.047826392631998393,-0.37770193401592722,-0.91481650891946087
feature_removal,5,Forecasting,XGBoost,6,0,,0.6495726495726496,0.77507029053420806,0.9408418657565415,-0.33563210302241298,4405,1170,generated,,0,0,0,0
feature_removal,5,Forecasting,Ensemble OLS,6,0,,0.53333333333333333,0.78406169665809766,0.69397042093287831,-0.99887407198902212,4405,1170,generated,,-0.11623931623931627,0.0089914061238896004,-0.24687144482366319,-0.66324196896660914
feature_removal,5,Forecasting,Ordered Probit,6,0,,0.4982905982905983,0.80148148148148146,0.61547212741751989,-1.158966961049928,4405,1170,generated,,-0.1512820512820513,0.0264111909472734,-0.32536973833902161,-0.82333485802751505
feature_removal,5,Nowcasting,XGBoost,10,0,,0.65384615384615385,0.77746478873239433,0.94197952218430037,-0.31733577284402381,4405,1170,generated,,0,0,0,0
feature_removal,5,Nowcasting,Ensemble OLS,10,0,,0.53931623931623929,0.78858625162127105,0.69169510807736068,-0.98515182435523019,4405,1170,generated,,-0.11452991452991457,0.011121462888876721,-0.25028441410693969,-0.66781605151120638
feature_removal,5,Nowcasting,Ordered Probit,9,0,,0.50512820512820511,0.80418535127055302,0.6120591581342435,-1.158966961049928,4405,1170,generated,,-0.14871794871794874,0.026720562538158688,-0.32992036405005687,-0.84163118820590421
feature_removal,10,Forecasting,XGBoost,11,0,,0.67606837606837611,0.79372623574144485,0.94994311717861202,-0.19383554413989645,4405,1170,generated,,0,0,0,0
feature_removal,10,Forecasting,Ensemble OLS,11,0,,0.53418803418803418,0.78803641092327703,0.68941979522184305,-0.99429998944442488,4405,1170,generated,,-0.14188034188034193,-0.0056898248181678213,-0.26052332195676897,-0.80046444530452843
feature_removal,10,Forecasting,Ordered Probit,11,0,,0.4982905982905983,0.80119581464872947,0.60978384527872587,-1.177263291228317,4405,1170,generated,,-0.17777777777777781,0.007469578907284613,-0.34015927189988615,-0.98342774708842051
feature_removal,10,Nowcasting,XGBoost,18,0,,0.67863247863247866,0.79903846153846159,0.94539249146757676,-0.17553921396150729,4405,1170,generated,,0,0,0,0
feature_removal,10,Nowcasting,Ensemble OLS,18,0,,0.53418803418803418,0.79494007989347537,0.67918088737201365,-0.99429998944442488,4405,1170,generated,,-0.14444444444444449,-0.0040983816449862154,-0.2662116040955631,-0.81876077548291759
feature_removal,10,Nowcasting,Ordered Probit,18,0,,0.50683760683760681,0.80447761194029854,0.61319681456200226,-1.1543928785053308,4405,1170,generated,,-0.17179487179487185,0.0054391504018369563,-0.3321956769055745,-0.9788536645438235
feature_removal,30,Forecasting,XGBoost,32,0,,0.62649572649572649,0.85353535353535348,0.76905574516496022,-0.45913233172654033,4405,1170,generated,,0,0,0,0
feature_removal,30,Forecasting,Ensemble OLS,32,0,,0.54529914529914525,0.80423280423280419,0.69169510807736068,-0.91654058618627077,4405,1170,generated,,-0.081196581196581241,-0.049302549302549292,-0.077360637087599549,-0.45740825445973043
feature_removal,30,Forecasting,Ordered Probit,32,0,,0.51367521367521363,0.81492537313432833,0.62116040955631402,-1.0903557228809682,4405,1170,generated,,-0.11282051282051286,-0.038609980401025146,-0.14789533560864621,-0.63122339115442783
feature_removal,30,Nowcasting,XGBoost,53,0,,0.6299145299145299,0.84968944099378885,0.77815699658703075,-0.4454100840927484,4405,1170,generated,,0,0,0,0
feature_removal,30,Nowcasting,Ensemble OLS,53,0,,0.54273504273504269,0.79921259842519687,0.69283276450511944,-0.93483691636465993,4405,1170,generated,,-0.087179487179487203,-0.050476842568591973,-0.085324232081911311,-0.48942683227191153
feature_removal,30,Nowcasting,Ordered Probit,52,0,,0.4982905982905983,0.82692307692307687,0.58703071672354945,-1.1543928785053308,4405,1170,generated,,-0.1316239316239316,-0.022766364070711975,-0.1911262798634813,-0.70898279441258238
feature_removal,50,Forecasting,XGBoost,53,0,,0.56153846153846154,0.86615384615384616,0.64050056882821393,-0.84335526547271389,4405,1170,generated,,0,0,0,0
feature_removal,50,Forecasting,Ensemble OLS,53,0,,0.51367521367521363,0.81001472754050075,0.62571103526734928,-1.0949298054255654,4405,1170,generated,,-0.047863247863247915,-0.056139118613345418,-0.014789533560864654,-0.25157453995285151
feature_removal,50,Forecasting,Ordered Probit,53,0,,0.47521367521367519,0.83274647887323938,0.53811149032992034,-1.2916153548432496,4405,1170,generated,,-0.086324786324786351,-0.033407367280606781,-0.1023890784982936,-0.44826008937053574
feature_removal,50,Nowcasting,XGBoost,88,0,,0.56153846153846154,0.85500747384155451,0.65073947667804322,-0.84792934801731112,4405,1170,generated,,0,0,0,0
feature_removal,50,Nowcasting,Ensemble OLS,88,0,,0.52991452991452992,0.82122093023255816,0.64277588168373156,-0.99887407198902212,4405,1170,generated,,-0.031623931623931623,-0.033786543608996356,-0.0079635949943116513,-0.15094472397171099
feature_removal,50,Nowcasting,Ordered Probit,87,0,,0.48803418803418802,0.83952702702702697,0.56541524459613202,-1.1818373737729142,4405,1170,generated,,-0.073504273504273521,-0.015480446814527538,-0.0853242320819112,-0.33390802575560308
country_removal,0,Forecasting,XGBoost,0,0,,0.6495726495726496,0.77507029053420806,0.9408418657565415,-0.33563210302241298,4405,1170,generated,,0,0,0,0
country_removal,0,Forecasting,Ensemble OLS,0,0,,0.53333333333333333,0.78395860284605434,0.68941979522184305,-1.0125963196228143,4405,1170,generated,,-0.11623931623931627,0.0088883123118462803,-0.25142207053469845,-0.67696421660040129
country_removal,0,Forecasting,Ordered Probit,0,0,,0.49059829059829058,0.79264705882352937,0.61319681456200226,-1.2001337039513036,4405,1170,generated,,-0.15897435897435902,0.01757676828932131,-0.32764505119453924,-0.86450160092889061
country_removal,0,Nowcasting,XGBoost,0,0,,0.65384615384615385,0.77746478873239433,0.94197952218430037,-0.31733577284402381,4405,1170,generated,,0,0,0,0
