task,method,actual_phase,predicted_phase,count,actual_row_total,actual_row_share
Forecasting,frozen_base,1,1,0,22,0
Forecasting,frozen_base,1,2,4,22,0.18181818181818182
Forecasting,frozen_base,1,3,18,22,0.81818181818181823
Forecasting,frozen_base,1,4,0,22,0
Forecasting,frozen_base,1,5,0,22,0
Forecasting,frozen_base,2,1,0,269,0
Forecasting,frozen_base,2,2,47,269,0.17472118959107807
Forecasting,frozen_base,2,3,222,269,0.82527881040892193
Forecasting,frozen_base,2,4,0,269,0
Forecasting,frozen_base,2,5,0,269,0
Forecasting,frozen_base,3,1,0,764,0
Forecasting,frozen_base,3,2,52,764,0.068062827225130892
Forecasting,frozen_base,3,3,712,764,0.93193717277486909
Forecasting,frozen_base,3,4,0,764,0
Forecasting,frozen_base,3,5,0,764,0
Forecasting,frozen_base,4,1,0,113,0
Forecasting,frozen_base,4,2,0,113,0
Forecasting,frozen_base,4,3,112,113,0.99115044247787609
Forecasting,frozen_base,4,4,1,113,0.0088495575221238937
Forecasting,frozen_base,4,5,0,113,0
Forecasting,frozen_base,5,1,0,2,0
Forecasting,frozen_base,5,2,0,2,0
Forecasting,frozen_base,5,3,2,2,1
Forecasting,frozen_base,5,4,0,2,0
Forecasting,frozen_base,5,5,0,2,0
Forecasting,single_score,1,1,0,22,0
Forecasting,single_score,1,2,4,22,0.18181818181818182
Forecasting,single_score,1,3,18,22,0.81818181818181823
Forecasting,single_score,1,4,0,22,0
Forecasting,single_score,1,5,0,22,0
Forecasting,single_score,2,1,0,269,0
Forecasting,single_score,2,2,47,269,0.17472118959107807
Forecasting,single_score,2,3,222,269,0.82527881040892193
Forecasting,single_score,2,4,0,269,0
Forecasting,single_score,2,5,0,269,0
Forecasting,single_score,3,1,0,764,0
Forecasting,single_score,3,2,52,764,0.068062827225130892
Forecasting,single_score,3,3,712,764,0.93193717277486909
Forecasting,single_score,3,4,0,764,0
Forecasting,single_score,3,5,0,764,0
Forecasting,single_score,4,1,0,113,0
Forecasting,single_score,4,2,0,113,0
Forecasting,single_score,4,3,112,113,0.99115044247787609
Forecasting,single_score,4,4,1,113,0.0088495575221238937
Forecasting,single_score,4,5,0,113,0
Forecasting,single_score,5,1,0,2,0
Forecasting,single_score,5,2,0,2,0
Forecasting,single_score,5,3,2,2,1
Forecasting,single_score,5,4,0,2,0
Forecasting,single_score,5,5,0,2,0
Forecasting,direct_phase34_xgboost,1,1,0,22,0
Forecasting,direct_phase34_xgboost,1,2,4,22,0.18181818181818182
Forecasting,direct_phase34_xgboost,1,3,18,22,0.81818181818181823
Forecasting,direct_phase34_xgboost,1,4,0,22,0
Forecasting,direct_phase34_xgboost,1,5,0,22,0
Forecasting,direct_phase34_xgboost,2,1,0,269,0
Forecasting,direct_phase34_xgboost,2,2,47,269,0.17472118959107807
Forecasting,direct_phase34_xgboost,2,3,222,269,0.82527881040892193
Forecasting,direct_phase34_xgboost,2,4,0,269,0
Forecasting,direct_phase34_xgboost,2,5,0,269,0
Forecasting,direct_phase34_xgboost,3,1,0,764,0
Forecasting,direct_phase34_xgboost,3,2,52,764,0.068062827225130892
Forecasting,direct_phase34_xgboost,3,3,703,764,0.92015706806282727
Forecasting,direct_phase34_xgboost,3,4,9,764,0.011780104712041885
Forecasting,direct_phase34_xgboost,3,5,0,764,0
Forecasting,direct_phase34_xgboost,4,1,0,113,0
Forecasting,direct_phase34_xgboost,4,2,0,113,0
Forecasting,direct_phase34_xgboost,4,3,99,113,0.87610619469026552
Forecasting,direct_phase34_xgboost,4,4,14,113,0.12389380530973451
Forecasting,direct_phase34_xgboost,4,5,0,113,0
Forecasting,direct_phase34_xgboost,5,1,0,2,0
Forecasting,direct_phase34_xgboost,5,2,0,2,0
Forecasting,direct_phase34_xgboost,5,3,2,2,1
Forecasting,direct_phase34_xgboost,5,4,0,2,0
Forecasting,direct_phase34_xgboost,5,5,0,2,0
Forecasting,xgboost,1,1,0,22,0
Forecasting,xgboost,1,2,4,22,0.18181818181818182
Forecasting,xgboost,1,3,18,22,0.81818181818181823
Forecasting,xgboost,1,4,0,22,0
Forecasting,xgboost,1,5,0,22,0
Forecasting,xgboost,2,1,0,269,0
Forecasting,xgboost,2,2,47,269,0.17472118959107807
Forecasting,xgboost,2,3,222,269,0.82527881040892193
Forecasting,xgboost,2,4,0,269,0
Forecasting,xgboost,2,5,0,269,0
