task,method,model_component,feature_order,feature_name,source_columns,formula,dtype,allow_missing
Forecasting,xgboost,rescue_classifier,1,phase2_pred_raw,phase2_pred_raw,saved leakage-safe base score,float64,False
Forecasting,xgboost,rescue_classifier,2,phase3_pred_raw,phase3_pred_raw,saved leakage-safe base score,float64,False
Forecasting,xgboost,rescue_classifier,3,phase4_pred_raw,phase4_pred_raw,saved leakage-safe base score,float64,False
Forecasting,xgboost,rescue_classifier,4,phase5_pred_raw,phase5_pred_raw,saved leakage-safe base score,float64,False
Forecasting,xgboost,rescue_classifier,5,phase3_margin_020,phase3_margin_020,phase3_pred_raw - 0.20,float64,False
Forecasting,xgboost,rescue_classifier,6,phase4_margin_020,phase4_margin_020,phase4_pred_raw - 0.20,float64,False
Forecasting,xgboost,rescue_classifier,7,phase3_minus_phase4,phase3_minus_phase4,phase3_pred_raw - phase4_pred_raw,float64,False
Nowcasting,xgboost,rescue_classifier,1,phase2_pred_raw,phase2_pred_raw,saved leakage-safe base score,float64,False
Nowcasting,xgboost,rescue_classifier,2,phase3_pred_raw,phase3_pred_raw,saved leakage-safe base score,float64,False
Nowcasting,xgboost,rescue_classifier,3,phase4_pred_raw,phase4_pred_raw,saved leakage-safe base score,float64,False
Nowcasting,xgboost,rescue_classifier,4,phase5_pred_raw,phase5_pred_raw,saved leakage-safe base score,float64,False
Nowcasting,xgboost,rescue_classifier,5,phase2_layer1_pred,phase2_layer1_pred,saved leakage-safe base score,float64,False
Nowcasting,xgboost,rescue_classifier,6,phase3_layer1_pred,phase3_layer1_pred,saved leakage-safe base score,float64,False
Nowcasting,xgboost,rescue_classifier,7,phase4_layer1_pred,phase4_layer1_pred,saved leakage-safe base score,float64,False
Nowcasting,xgboost,rescue_classifier,8,phase5_layer1_pred,phase5_layer1_pred,saved leakage-safe base score,float64,False
Nowcasting,xgboost,rescue_classifier,9,phase3_residual_pred,phase3_residual_pred,saved leakage-safe base score,float64,False
Nowcasting,xgboost,rescue_classifier,10,phase4_residual_pred,phase4_residual_pred,saved leakage-safe base score,float64,False
Nowcasting,xgboost,rescue_classifier,11,phase3_margin_020,phase3_margin_020,phase3_pred_raw - 0.20,float64,False
Nowcasting,xgboost,rescue_classifier,12,phase4_margin_020,phase4_margin_020,phase4_pred_raw - 0.20,float64,False
Nowcasting,xgboost,rescue_classifier,13,phase3_minus_phase4,phase3_minus_phase4,phase3_pred_raw - phase4_pred_raw,float64,False
Nowcasting,xgboost,rescue_classifier,14,layer1_phase3_minus_phase4,layer1_phase3_minus_phase4,phase3_layer1_pred - phase4_layer1_pred,float64,False
Nowcasting,xgboost,rescue_classifier,15,residual_phase3_minus_phase4,residual_phase3_minus_phase4,phase3_residual_pred - phase4_residual_pred,float64,False
Forecasting,direct_phase34_xgboost,direct_forecasting_classifier,1,elevation,elevation,native predictor,int64,True
Forecasting,direct_phase34_xgboost,direct_forecasting_classifier,2,infra_index_m12_l12,infra_index_m12_l12,native predictor,float64,True
Forecasting,direct_phase34_xgboost,direct_forecasting_classifier,3,infra_index_s12_l12,infra_index_s12_l12,native predictor,float64,True
Forecasting,direct_phase34_xgboost,direct_forecasting_classifier,4,market_access,market_access,native predictor,int64,True
Forecasting,direct_phase34_xgboost,direct_forecasting_classifier,5,nitrogen_5-15cm_mean,nitrogen_5-15cm_mean,native predictor,float64,True
Forecasting,direct_phase34_xgboost,direct_forecasting_classifier,6,phh2o_5-15cm_mean,phh2o_5-15cm_mean,native predictor,float64,True
Forecasting,direct_phase34_xgboost,direct_forecasting_classifier,7,cec_5-15cm_mean,cec_5-15cm_mean,native predictor,float64,True
Forecasting,direct_phase34_xgboost,direct_forecasting_classifier,8,cfvo_5-15cm_mean,cfvo_5-15cm_mean,native predictor,float64,True
Forecasting,direct_phase34_xgboost,direct_forecasting_classifier,9,soc_5-15cm_mean,soc_5-15cm_mean,native predictor,float64,True
Forecasting,direct_phase34_xgboost,direct_forecasting_classifier,10,aez_groupid_4000,aez_groupid_4000,native predictor,int64,True
Forecasting,direct_phase34_xgboost,direct_forecasting_classifier,11,aez_groupid_7000,aez_groupid_7000,native predictor,int64,True
Forecasting,direct_phase34_xgboost,direct_forecasting_classifier,12,aez_groupid_9000,aez_groupid_9000,native predictor,int64,True
Forecasting,direct_phase34_xgboost,direct_forecasting_classifier,13,aez_groupid_10000,aez_groupid_10000,native predictor,int64,True
Forecasting,direct_phase34_xgboost,direct_forecasting_classifier,14,aez_groupid_12000,aez_groupid_12000,native predictor,int64,True
Forecasting,direct_phase34_xgboost,direct_forecasting_classifier,15,aez_groupid_17000,aez_groupid_17000,native predictor,int64,True
Forecasting,direct_phase34_xgboost,direct_forecasting_classifier,16,aez_groupid_19000,aez_groupid_19000,native predictor,int64,True
Forecasting,direct_phase34_xgboost,direct_forecasting_classifier,17,aez_groupid_25000,aez_groupid_25000,native predictor,int64,True
Forecasting,direct_phase34_xgboost,direct_forecasting_classifier,18,aez_groupid_30000,aez_groupid_30000,native predictor,int64,True
Forecasting,direct_phase34_xgboost,direct_forecasting_classifier,19,aez_groupid_31000,aez_groupid_31000,native predictor,int64,True
Forecasting,direct_phase34_xgboost,direct_forecasting_classifier,20,aez_groupid_32000,aez_groupid_32000,native predictor,int64,True
Forecasting,direct_phase34_xgboost,direct_forecasting_classifier,21,aez_groupid_33000,aez_groupid_33000,native predictor,int64,True
Forecasting,direct_phase34_xgboost,direct_forecasting_classifier,22,aez_groupid_34000,aez_groupid_34000,native predictor,int64,True
