task,candidate_id,scope,meta_fold,max_depth,min_child_weight,learning_rate,reg_lambda,n_train,n_validation,validation_positive_count,pr_auc,log_loss,selected
Forecasting,C001,fold,A1,1,5,0.029999999999999999,1,703,645,54,0.10150823736834078,0.5864343266593679,False
Forecasting,C001,fold,A2,1,5,0.029999999999999999,1,1348,690,79,0.19514942836273819,0.72553707807765522,False
Forecasting,C001,fold,A3,1,5,0.029999999999999999,1,2038,530,41,0.18439874291073274,0.50989123819828264,False
Forecasting,C001,pooled,A1-A3,1,5,0.029999999999999999,1,4089,1865,174,0.15489711117579782,0.61614642402893527,False
Forecasting,C002,fold,A1,1,5,0.029999999999999999,10,703,645,54,0.12085823454831644,0.60946072825639919,False
Forecasting,C002,fold,A2,1,5,0.029999999999999999,10,1348,690,79,0.17723332264091884,0.74892931980017796,False
Forecasting,C002,fold,A3,1,5,0.029999999999999999,10,2038,530,41,0.19169475436709921,0.51294720691042883,False
Forecasting,C002,pooled,A1-A3,1,5,0.029999999999999999,10,4089,1865,174,0.15481747242480479,0.63363293300269574,False
Forecasting,C003,fold,A1,1,5,0.10000000000000001,1,703,645,54,0.090659738989417857,0.58106530975833004,False
Forecasting,C003,fold,A2,1,5,0.10000000000000001,1,1348,690,79,0.19718068499875013,0.74741939627344001,False
Forecasting,C003,fold,A3,1,5,0.10000000000000001,1,2038,530,41,0.19079315112530004,0.50554585660188911,False
Forecasting,C003,pooled,A1-A3,1,5,0.10000000000000001,1,4089,1865,174,0.15870012116059462,0.62115056955592374,False
Forecasting,C004,fold,A1,1,5,0.10000000000000001,10,703,645,54,0.094689915719891243,0.59306489392013662,False
Forecasting,C004,fold,A2,1,5,0.10000000000000001,10,1348,690,79,0.17623259412039372,0.76889245450604105,False
Forecasting,C004,fold,A3,1,5,0.10000000000000001,10,2038,530,41,0.18912198148234757,0.49953443400247999,False
Forecasting,C004,pooled,A1-A3,1,5,0.10000000000000001,10,4089,1865,174,0.1499917129179614,0.63153667571526584,False
Forecasting,C005,fold,A1,1,20,0.029999999999999999,1,703,645,54,0.1179961541760179,0.6038588556899569,False
Forecasting,C005,fold,A2,1,20,0.029999999999999999,1,1348,690,79,0.19637613956285643,0.73920143343648914,False
Forecasting,C005,fold,A3,1,20,0.029999999999999999,1,2038,530,41,0.19881504544513545,0.51191706597748365,False
Forecasting,C005,pooled,A1-A3,1,20,0.029999999999999999,1,4089,1865,174,0.15628172848079436,0.62780375118459308,False
Forecasting,C006,fold,A1,1,20,0.029999999999999999,10,703,645,54,0.12084191479762213,0.61400031115447384,False
Forecasting,C006,fold,A2,1,20,0.029999999999999999,10,1348,690,79,0.18037935974226685,0.75500920630867774,False
Forecasting,C006,fold,A3,1,20,0.029999999999999999,10,2038,530,41,0.19599282282648345,0.51280349497361655,False
Forecasting,C006,pooled,A1-A3,1,20,0.029999999999999999,10,4089,1865,174,0.15503219088405151,0.63741147741750137,False
Forecasting,C007,fold,A1,1,20,0.10000000000000001,1,703,645,54,0.093626355161545133,0.59567250328185539,False
Forecasting,C007,fold,A2,1,20,0.10000000000000001,1,1348,690,79,0.186809428041949,0.7735565663840358,False
Forecasting,C007,fold,A3,1,20,0.10000000000000001,1,2038,530,41,0.18639773277037097,0.50245228686550414,False
Forecasting,C007,pooled,A1-A3,1,20,0.10000000000000001,1,4089,1865,174,0.15205261759370464,0.63499330158739864,False
Forecasting,C008,fold,A1,1,20,0.10000000000000001,10,703,645,54,0.098883267227652227,0.59554630187536761,False
Forecasting,C008,fold,A2,1,20,0.10000000000000001,10,1348,690,79,0.17399232709636464,0.78370016558184441,False
Forecasting,C008,fold,A3,1,20,0.10000000000000001,10,2038,530,41,0.18115966223208269,0.50572090466676956,False
Forecasting,C008,pooled,A1-A3,1,20,0.10000000000000001,10,4089,1865,174,0.14814263594865468,0.63963139862438212,False
Forecasting,C009,fold,A1,2,5,0.029999999999999999,1,703,645,54,0.095292849946482822,0.56100907229712416,False
Forecasting,C009,fold,A2,2,5,0.029999999999999999,1,1348,690,79,0.17359570726422063,0.6820368584886346,False
Forecasting,C009,fold,A3,2,5,0.029999999999999999,1,2038,530,41,0.19840073147026588,0.50552874686413474,False
Forecasting,C009,pooled,A1-A3,2,5,0.029999999999999999,1,4089,1865,174,0.14653315011779647,0.59001958167656521,False
Forecasting,C010,fold,A1,2,5,0.029999999999999999,10,703,645,54,0.10225057832647375,0.58974707804173188,False
Forecasting,C010,fold,A2,2,5,0.029999999999999999,10,1348,690,79,0.17050372729350921,0.72056923417900998,False
Forecasting,C010,fold,A3,2,5,0.029999999999999999,10,2038,530,41,0.20175756023216596,0.50911287801126148,False
Forecasting,C010,pooled,A1-A3,2,5,0.029999999999999999,10,4089,1865,174,0.14835231191104828,0.61523295563882163,False
Forecasting,C011,fold,A1,2,5,0.10000000000000001,1,703,645,54,0.11420040385912526,0.49826422123831771,False
Forecasting,C011,fold,A2,2,5,0.10000000000000001,1,1348,690,79,0.17485571789391788,0.63335494734401021,False
Forecasting,C011,fold,A3,2,5,0.10000000000000001,1,2038,530,41,0.18483713549995262,0.45627822901462312,False
Forecasting,C011,pooled,A1-A3,2,5,0.10000000000000001,1,4089,1865,174,0.15175111286167037,0.5363124920878457,False
Forecasting,C012,fold,A1,2,5,0.10000000000000001,10,703,645,54,0.098907879750968292,0.53690108741651388,False
Forecasting,C012,fold,A2,2,5,0.10000000000000001,10,1348,690,79,0.18811477969593127,0.66784643262859522,False
Forecasting,C012,fold,A3,2,5,0.10000000000000001,10,2038,530,41,0.17789921065220005,0.44924039406553573,False
Forecasting,C012,pooled,A1-A3,2,5,0.10000000000000001,10,4089,1865,174,0.1539420067486392,0.56043573659630896,False
Forecasting,C013,fold,A1,2,20,0.029999999999999999,1,703,645,54,0.10665033475732323,0.57856590682055775,False
Forecasting,C013,fold,A2,2,20,0.029999999999999999,1,1348,690,79,0.18168713297603833,0.70879194126360645,False
Forecasting,C013,fold,A3,2,20,0.029999999999999999,1,2038,530,41,0.18651095872110851,0.50317987891095439,False
Forecasting,C013,pooled,A1-A3,2,20,0.029999999999999999,1,4089,1865,174,0.14983586653542538,0.60532267302624876,False
Forecasting,C014,fold,A1,2,20,0.029999999999999999,10,703,645,54,0.11309320926701211,0.58477970308630667,False
Forecasting,C014,fold,A2,2,20,0.029999999999999999,10,1348,690,79,0.17280102078416698,0.7263047375531142,False
Forecasting,C014,fold,A3,2,20,0.029999999999999999,10,2038,530,41,0.19010913014740036,0.50981126505865648,False
Forecasting,C014,pooled,A1-A3,2,20,0.029999999999999999,10,4089,1865,174,0.14819982834292084,0.61583546803399702,False
Forecasting,C015,fold,A1,2,20,0.10000000000000001,1,703,645,54,0.09553142149541613,0.55945266960348339,False
Forecasting,C015,fold,A2,2,20,0.10000000000000001,1,1348,690,79,0.19170779122275869,0.67339069491477166,False
Forecasting,C015,fold,A3,2,20,0.10000000000000001,1,2038,530,41,0.17450325166968408,0.45241475130474468,False
Forecasting,C015,pooled,A1-A3,2,20,0.10000000000000001,1,4089,1865,174,0.14888220661037471,0.57118840191793785,False
Forecasting,C016,fold,A1,2,20,0.10000000000000001,10,703,645,54,0.088924765200880843,0.56366582040723645,False
Forecasting,C016,fold,A2,2,20,0.10000000000000001,10,1348,690,79,0.18295197037520528,0.69976333877178476,False
Forecasting,C016,fold,A3,2,20,0.10000000000000001,10,2038,530,41,0.18199480837053672,0.44615684104219494,False
Forecasting,C016,pooled,A1-A3,2,20,0.10000000000000001,10,4089,1865,174,0.14498714143274158,0.58062428078689676,False
Forecasting,C017,fold,A1,3,5,0.029999999999999999,1,703,645,54,0.11463430350339046,0.51704082829052855,False
Forecasting,C017,fold,A2,3,5,0.029999999999999999,1,1348,690,79,0.17884640167623492,0.63436744027256819,False
Forecasting,C017,fold,A3,3,5,0.029999999999999999,1,2038,530,41,0.18742803396034372,0.4760358348470855,False
Forecasting,C017,pooled,A1-A3,3,5,0.029999999999999999,1,4089,1865,174,0.1540188330543725,0.54879563565920553,False
Forecasting,C018,fold,A1,3,5,0.029999999999999999,10,703,645,54,0.11333182413525639,0.54591410890636427,False
Forecasting,C018,fold,A2,3,5,0.029999999999999999,10,1348,690,79,0.18978599843940175,0.67205216950072211,False
Forecasting,C018,fold,A3,3,5,0.029999999999999999,10,2038,530,41,0.18491029683253105,0.48198749801822893,False
Forecasting,C018,pooled,A1-A3,3,5,0.029999999999999999,10,4089,1865,174,0.15697728783656212,0.57441499793553052,False
Forecasting,C019,fold,A1,3,5,0.10000000000000001,1,703,645,54,0.13298030719559961,0.44766948131545947,False
Forecasting,C019,fold,A2,3,5,0.10000000000000001,1,1348,690,79,0.19702814478305275,0.57201820144174476,False
Forecasting,C019,fold,A3,3,5,0.10000000000000001,1,2038,530,41,0.16859203461034511,0.41602045200240123,False
Forecasting,C019,pooled,A1-A3,3,5,0.10000000000000001,1,4089,1865,174,0.16520127680280089,0.48468107989519993,False
Forecasting,C020,fold,A1,3,5,0.10000000000000001,10,703,645,54,0.11617050784273422,0.48803429500560241,False
Forecasting,C020,fold,A2,3,5,0.10000000000000001,10,1348,690,79,0.22041527957502394,0.60056959827778778,False
Forecasting,C020,fold,A3,3,5,0.10000000000000001,10,2038,530,41,0.1818596795599528,0.42438591838455619,False
Forecasting,C020,pooled,A1-A3,3,5,0.10000000000000001,10,4089,1865,174,0.17099586727916141,0.51158159776627443,False
Forecasting,C021,fold,A1,3,20,0.029999999999999999,1,703,645,54,0.099884498744193431,0.56519451152728983,False
Forecasting,C021,fold,A2,3,20,0.029999999999999999,1,1348,690,79,0.18955865000471706,0.67390293159054249,False
Forecasting,C021,fold,A3,3,20,0.029999999999999999,1,2038,530,41,0.18679586036903573,0.48540185358022336,False
Forecasting,C021,pooled,A1-A3,3,20,0.029999999999999999,1,4089,1865,174,0.1515924410362505,0.58273805100809362,False
Forecasting,C022,fold,A1,3,20,0.029999999999999999,10,703,645,54,0.1075819263358232,0.56888021999926919,False
Forecasting,C022,fold,A2,3,20,0.029999999999999999,10,1348,690,79,0.17623404699118123,0.68644215625581795,False
Forecasting,C022,fold,A3,3,20,0.029999999999999999,10,2038,530,41,0.1866707746380229,0.49305070160994613,False
Forecasting,C022,pooled,A1-A3,3,20,0.029999999999999999,10,4089,1865,174,0.14927266161483313,0.59082557724896212,False
Forecasting,C023,fold,A1,3,20,0.10000000000000001,1,703,645,54,0.087982588420175423,0.53304209841149353,False
Forecasting,C023,fold,A2,3,20,0.10000000000000001,1,1348,690,79,0.26493469400529124,0.64407726881853045,False
Forecasting,C023,fold,A3,3,20,0.10000000000000001,1,2038,530,41,0.1764013095496797,0.42022906528423043,False
Forecasting,C023,pooled,A1-A3,3,20,0.10000000000000001,1,4089,1865,174,0.17711196688724731,0.54206266678865489,True
Forecasting,C024,fold,A1,3,20,0.10000000000000001,10,703,645,54,0.090605883814023014,0.5335776945873022,False
Forecasting,C024,fold,A2,3,20,0.10000000000000001,10,1348,690,79,0.2429970940994689,0.64092400441068065,False
Forecasting,C024,fold,A3,3,20,0.10000000000000001,10,2038,530,41,0.17385192448884429,0.42137942537671291,False
Forecasting,C024,pooled,A1-A3,3,20,0.10000000000000001,10,4089,1865,174,0.16497903488047982,0.54140818847283512,False
Nowcasting,C001,fold,A1,1,5,0.029999999999999999,1,699,663,53,0.12015450387019491,0.51638780834696263,False
Nowcasting,C001,fold,A2,1,5,0.029999999999999999,1,1362,695,81,0.18013133009418975,0.66094613460635732,False
Nowcasting,C001,fold,A3,1,5,0.029999999999999999,1,2057,542,44,0.22557584494784744,0.48283134978697895,False
Nowcasting,C001,pooled,A1-A3,1,5,0.029999999999999999,1,4118,1900,178,0.16496851074545585,0.55969330108947213,False
Nowcasting,C002,fold,A1,1,5,0.029999999999999999,10,699,663,53,0.13270731937485275,0.54395452598171878,False
Nowcasting,C002,fold,A2,1,5,0.029999999999999999,10,1362,695,81,0.18350593809494642,0.66986512118389507,False
Nowcasting,C002,fold,A3,1,5,0.029999999999999999,10,2057,542,44,0.22325545335092745,0.47537201416854891,False
Nowcasting,C002,pooled,A1-A3,1,5,0.029999999999999999,10,4118,1900,178,0.16938297860378851,0.57044723243581064,False
Nowcasting,C003,fold,A1,1,5,0.10000000000000001,1,699,663,53,0.1122035586484631,0.40920898065950556,False
Nowcasting,C003,fold,A2,1,5,0.10000000000000001,1,1362,695,81,0.1749249427856491,0.64998775843549361,False
Nowcasting,C003,fold,A3,1,5,0.10000000000000001,1,2057,542,44,0.21304874396977197,0.47519325146712921,False
Nowcasting,C003,pooled,A1-A3,1,5,0.10000000000000001,1,4118,1900,178,0.15764756188899304,0.51610620451847589,False
Nowcasting,C004,fold,A1,1,5,0.10000000000000001,10,699,663,53,0.12484701179493765,0.42648967757300238,False
Nowcasting,C004,fold,A2,1,5,0.10000000000000001,10,1362,695,81,0.16677690743323706,0.64162657938152379,False
Nowcasting,C004,fold,A3,1,5,0.10000000000000001,10,2057,542,44,0.21666064649238093,0.47895161298442823,False
Nowcasting,C004,pooled,A1-A3,1,5,0.10000000000000001,10,4118,1900,178,0.15479409956474882,0.52014994902032619,False
Nowcasting,C005,fold,A1,1,20,0.029999999999999999,1,699,663,53,0.12926403532250055,0.52951727526901737,False
Nowcasting,C005,fold,A2,1,20,0.029999999999999999,1,1362,695,81,0.17756174589676924,0.65863169622729723,False
Nowcasting,C005,fold,A3,1,20,0.029999999999999999,1,2057,542,44,0.22840161881903778,0.47836989117791301,False
Nowcasting,C005,pooled,A1-A3,1,20,0.029999999999999999,1,4118,1900,178,0.16503349769349157,0.56215550705250472,False
Nowcasting,C006,fold,A1,1,20,0.029999999999999999,10,699,663,53,0.13510129049244723,0.54681138650109962,False
Nowcasting,C006,fold,A2,1,20,0.029999999999999999,10,1362,695,81,0.18426356354726287,0.66935048028124822,False
Nowcasting,C006,fold,A3,1,20,0.029999999999999999,10,2057,542,44,0.22660848361156849,0.47422929828238125,False
Nowcasting,C006,pooled,A1-A3,1,20,0.029999999999999999,10,4118,1900,178,0.16971246599857165,0.57092990142881428,False
Nowcasting,C007,fold,A1,1,20,0.10000000000000001,1,699,663,53,0.12709447130337595,0.42103318052033795,False
Nowcasting,C007,fold,A2,1,20,0.10000000000000001,1,1362,695,81,0.17379313393706364,0.63954591187804877,False
Nowcasting,C007,fold,A3,1,20,0.10000000000000001,1,2057,542,44,0.21352925644889703,0.4868640905449037,False
Nowcasting,C007,pooled,A1-A3,1,20,0.10000000000000001,1,4118,1900,178,0.15791603416840769,0.51974197079766615,False
Nowcasting,C008,fold,A1,1,20,0.10000000000000001,10,699,663,53,0.13046584025282815,0.43332899324271063,False
Nowcasting,C008,fold,A2,1,20,0.10000000000000001,10,1362,695,81,0.16010640452678998,0.65984780531322429,False
Nowcasting,C008,fold,A3,1,20,0.10000000000000001,10,2057,542,44,0.22000476996772905,0.48832287886156334,False
Nowcasting,C008,pooled,A1-A3,1,20,0.10000000000000001,10,4118,1900,178,0.15082454100878295,0.53187491976609225,False
Nowcasting,C009,fold,A1,2,5,0.029999999999999999,1,699,663,53,0.12386120367770813,0.42388831394093296,False
Nowcasting,C009,fold,A2,2,5,0.029999999999999999,1,1362,695,81,0.1933379381196641,0.61733640310527682,False
Nowcasting,C009,fold,A3,2,5,0.029999999999999999,1,2057,542,44,0.22233260297868679,0.4841197510984554,False
Nowcasting,C009,pooled,A1-A3,2,5,0.029999999999999999,1,4118,1900,178,0.15841380700651933,0.51183139862966776,False
Nowcasting,C010,fold,A1,2,5,0.029999999999999999,10,699,663,53,0.13395301538265114,0.45570836900711403,False
Nowcasting,C010,fold,A2,2,5,0.029999999999999999,10,1362,695,81,0.17894177236126921,0.62829332865446486,False
Nowcasting,C010,fold,A3,2,5,0.029999999999999999,10,2057,542,44,0.19978625769596872,0.48639931631216238,False
Nowcasting,C010,pooled,A1-A3,2,5,0.029999999999999999,10,4118,1900,178,0.15515228049055263,0.52759312710934825,False
Nowcasting,C011,fold,A1,2,5,0.10000000000000001,1,699,663,53,0.13439650767196334,0.35842816215595513,False
Nowcasting,C011,fold,A2,2,5,0.10000000000000001,1,1362,695,81,0.21314722389506044,0.57797265681224608,False
Nowcasting,C011,fold,A3,2,5,0.10000000000000001,1,2057,542,44,0.17866845222739022,0.46494732317670828,False
Nowcasting,C011,pooled,A1-A3,2,5,0.10000000000000001,1,4118,1900,178,0.1742692660542734,0.4691212195556238,False
Nowcasting,C012,fold,A1,2,5,0.10000000000000001,10,699,663,53,0.14226034037995053,0.36578773709849649,False
Nowcasting,C012,fold,A2,2,5,0.10000000000000001,10,1362,695,81,0.23656025208716661,0.58452262466022176,False
Nowcasting,C012,fold,A3,2,5,0.10000000000000001,10,2057,542,44,0.1848090400161409,0.46949804904376763,False
Nowcasting,C012,pooled,A1-A3,2,5,0.10000000000000001,10,4118,1900,178,0.17939340948747545,0.47538338758783122,False
Nowcasting,C013,fold,A1,2,20,0.029999999999999999,1,699,663,53,0.14089409917057644,0.43581173507166754,False
Nowcasting,C013,fold,A2,2,20,0.029999999999999999,1,1362,695,81,0.17222560675324267,0.61921947109709619,False
Nowcasting,C013,fold,A3,2,20,0.029999999999999999,1,2057,542,44,0.20418245322312062,0.48513733377988799,False
