task,method,method_role,overall_accuracy,phase3plus_accuracy,phase3plus_precision,phase3plus_recall,phase3above_r2,true_positive,false_positive,false_negative,true_negative,n_train,n_test,test_key_sha256,target_definition,metric_source,fit_status,converged
Nowcasting,Persistence,baseline,0.58803418803418805,0.68803418803418803,0.82286432160804024,0.74516496018202505,-0.66954012877801605,655,141,224,150,4405,1170,288059e7dad989ecfa5e634c01b6ec39282a81e22f17aa28625bad76455fe6c2,highest cumulative IPC phase with population share >= 0.20,Generated from unified row-level predictions,generated,True
Nowcasting,Multinomial,baseline,0.48119658119658121,0.58119658119658124,0.79604261796042619,0.59499431171786121,-1.2413004468526792,523,134,356,157,4405,1170,288059e7dad989ecfa5e634c01b6ec39282a81e22f17aa28625bad76455fe6c2,highest cumulative IPC phase with population share >= 0.20,Generated from unified row-level predictions,generated,True
Nowcasting,Ordered Probit,baseline,0.48974358974358972,0.58290598290598294,0.82529118136439272,0.56427758816837315,-1.2321522817634847,496,105,383,186,4405,1170,288059e7dad989ecfa5e634c01b6ec39282a81e22f17aa28625bad76455fe6c2,highest cumulative IPC phase with population share >= 0.20,Generated from unified row-level predictions,generated,True
Nowcasting,Ensemble OLS,baseline,0.54529914529914525,0.63504273504273501,0.79427083333333337,0.69397042093287831,-0.95313324654304887,610,158,269,133,4405,1170,288059e7dad989ecfa5e634c01b6ec39282a81e22f17aa28625bad76455fe6c2,highest cumulative IPC phase with population share >= 0.20,Generated from unified row-level predictions,generated,True
Nowcasting,Main result,main_result_reference,0.65384615384615385,0.75384615384615383,0.77746478873239433,0.94197952218430037,-0.31733577284402403,828,237,51,54,4405,1170,288059e7dad989ecfa5e634c01b6ec39282a81e22f17aa28625bad76455fe6c2,highest cumulative IPC phase with population share >= 0.20,main-result-figure1-v1; Figure2_Nowcasting_two_layer_feature_importance.ipynb stored output; Figure 1 anchor,frozen_main_result_reference,
Forecasting,Persistence,baseline,0.51025641025641022,0.62905982905982905,0.85261489698890647,0.6120591581342435,-0.98515182435522997,538,93,341,198,4405,1170,288059e7dad989ecfa5e634c01b6ec39282a81e22f17aa28625bad76455fe6c2,highest cumulative IPC phase with population share >= 0.20,Generated from unified row-level predictions,generated,True
Forecasting,Multinomial,baseline,0.50512820512820511,0.62136752136752138,0.79144385026737973,0.67349260523321952,-1.026318567256606,592,156,287,135,4405,1170,288059e7dad989ecfa5e634c01b6ec39282a81e22f17aa28625bad76455fe6c2,highest cumulative IPC phase with population share >= 0.20,Generated from unified row-level predictions,generated,True
Forecasting,Ordered Probit,baseline,0.49059829059829058,0.58888888888888891,0.79264705882352937,0.61319681456200226,-1.2001337039513031,539,141,340,150,4405,1170,288059e7dad989ecfa5e634c01b6ec39282a81e22f17aa28625bad76455fe6c2,highest cumulative IPC phase with population share >= 0.20,Generated from unified row-level predictions,generated,True
Forecasting,Ensemble OLS,baseline,0.53333333333333333,0.62393162393162394,0.78395860284605434,0.68941979522184305,-1.0125963196228138,606,167,273,124,4405,1170,288059e7dad989ecfa5e634c01b6ec39282a81e22f17aa28625bad76455fe6c2,highest cumulative IPC phase with population share >= 0.20,Generated from unified row-level predictions,generated,True
Forecasting,Main result,main_result_reference,0.6495726495726496,0.75042735042735043,0.77507029053420806,0.9408418657565415,-0.3356321030224132,827,240,52,51,4405,1170,288059e7dad989ecfa5e634c01b6ec39282a81e22f17aa28625bad76455fe6c2,highest cumulative IPC phase with population share >= 0.20,main-result-figure1-v1; Table1_Forecasting_main.ipynb stored output; Figure 1 anchor,frozen_main_result_reference,
