scheme,area_id,country_code_3,neighbor_count,min_distance_km,max_distance_km,mean_distance_km,zero_neighbor,neighbor_ids,neighbor_ids_sha256
knn5,2,DOM,5,85.389342760183013,201.64869887617721,169.23803881375139,False,5;9;10;11;12,c4673d0dd6843b4dcf61f02ec53446d7c1455207333b6ed59cc3f113965e137d
knn5,5,DOM,5,74.751018448100652,119.98730672193601,102.77791568590935,False,9;2;10;11;12,6707d3e46b9fe397ce62693ff1b66c8e959855bdfb290be545357f3096b942c4
knn5,9,DOM,5,49.906247460546581,78.52698173975331,65.729306125388803,False,10;11;12;5;13,e122a117caf47696904d7fd486a776fa8f315916e0858c463ddd1a0d0d0f2b9f
knn5,10,HTI,5,15.764432290723304,53.887381104469313,33.780997386840866,False,11;12;13;9;19,29b0c89f2e596dad4b0e83695975f18bf5f70d92c11e64c8e5ff7e8a71bf928f
knn5,11,HTI,5,0.00062595610999044166,55.191231715143218,28.793010162151766,False,12;10;13;19;20,80ffe5485b71ad4c273421d60f6860dd8edff85065bfc6ef5e59946c00d6aac9
knn5,12,HTI,5,0.00062595610999044166,55.190974895852726,28.792907414561636,False,11;10;13;19;20,748326ee83268554f55a2c5c3d0779628b38bb60db8690041d53f23b96ad56aa
knn5,13,HTI,5,17.817064529303899,49.986254793267832,33.837826344763954,False,12;11;10;21;22,d5f4b996b2fa125de22438d152ad9563c01bbd75dd29f75208b4a5b98ae31048
knn5,16,HTI,5,26.668629383882589,75.674079798602975,48.587319619387429,False,17;18;19;20;10,3763d22f77ee4fa4edea08d36ee8f4ae85e9947ba9462e63a2b640d7bfcfc564
knn5,17,HTI,5,1.5910152308851222e-05,63.897854237921258,30.477491939453323,False,18;16;19;20;10,60cd79539230ee4fed17e8713cede1940cba6b593af6a09e609632a64826f896
knn5,18,HTI,5,1.5910152308851222e-05,63.897846391046095,30.477487107527168,False,17;16;19;20;10,7038829e5fca8c24e0ff6e643942577ee6ed545f67cca2794fd8683a4eb73c76
knn5,19,HTI,5,3.6716047750416833e-05,37.910270988806779,27.528303873581688,False,20;18;17;21;22,069accde2b7fe55b03024e74347ab46938f050bbb53bff45e52b3859b482feab
knn5,20,HTI,5,3.6716047750416833e-05,37.910269580823865,27.528303655653332,False,19;18;17;21;22,1d7af8302c7f2debec5ffb29956ff7c75f8c510563c8f23eda3b60387e8ea383
knn5,21,HTI,5,2.8333528956520394e-06,55.515975771957407,36.26455353517099,False,22;20;19;13;12,a04e59f1f6b0d4d1ab451485a57a74df7a15f10a183d0b7e6c4dcd51734371e2
knn5,22,HTI,5,2.8333528956520394e-06,55.515977400489639,36.264555119348202,False,21;20;19;13;12,2b488ba7e1ca7d6cd8b4d27a5954ca6c479eacb2d79417241aeb29d4dd794a3c
knn5,28,HTI,5,1.5957817254762705,152.03451230855262,86.075838106048295,False,29;32;33;22;21,74cbcbeebd12b545b4cad4de8ace3143ef416d42125a08bcacbb97bc2d368d69
knn5,29,HTI,5,1.5957817254762705,152.22880205669654,85.516510399639515,False,28;32;33;22;21,3ef8f326736a039d0fdc1f2c61bc31eca462e7a98958f9509005f7fa278fbcdc
knn5,32,HTI,5,0.55866824908522839,174.01326134444355,94.287951997080583,False,33;29;28;22;21,0e0456007f43f42f4bdd40d5bdb4b777a1ebdcab66a1aaff2f099db64abc25c9
knn5,33,HTI,5,0.55866824908522839,174.57146505178582,94.618116260316597,False,32;29;28;22;21,4de26178c1d51e23ebc2282d21e52ebb3535575dc1314bdfff6ec515b258180f
knn5,34,HND,5,96.748240180172147,204.30636992881759,169.09795950885558,False,35;38;41;36;37,3e0ecda039edc73bf9781335cc71220f601eed61add05b9ea53fe738a642b5ad
knn5,35,HND,5,96.748240180172147,147.63973594836222,121.60264300978638,False,34;36;37;41;39,5dfc8b8cef6360cf534a0677e06ced1be60be51ff5d8d0586c8ab28d9ff45b5b
knn5,36,HND,5,0.78553597795290253,141.06344157796698,82.348671702442473,False,37;39;40;35;42,c6c3c098645afe6ae6b5c51d7ec1605f22ee10a350ba006090ac507a9637d103
knn5,37,HND,5,0.78553597795290253,140.42422820470759,82.047341243803885,False,36;39;40;35;42,26daf899a226f407ce041ac91a4b2d0dc55e27a5c935aab781b2274fe800807c
knn5,38,HND,5,40.41871003483611,152.93803783945313,121.96754294383877,False,41;42;48;49;40,ac4e87fef37f5c04265de530d32226e0fe68440a4557306ab55a9393e884a29f
knn5,39,HND,5,0.16415207991670483,80.048823330754274,59.844772532135018,False,40;42;43;44;37,24b915806241d5bd4b4f7cc3c4406cd5b462742151dd0597df082594c2b9d187
knn5,40,HND,5,0.16415207991670483,80.208041431427006,59.802451961960934,False,39;42;43;44;37,f97dea0811ec89c06a822feeab44e64d0e5afe791a33e3a663113987fc618432
knn5,41,HND,5,40.41871003483611,124.84680952672966,96.095460912862052,False,38;42;40;39;48,f5d4bc29b494338e694fd07ee1ea0fe9174f8acacce6d765b120fa50f497d2f6
knn5,42,HND,5,61.496625941244851,70.159331711525496,64.191022449324009,False,40;39;43;44;46,cfe1aebdb907e17239cd767025207625d98996696e82ef76537a385f14699f13
knn5,43,HND,5,0.36445899139303151,74.635724725483328,45.200341984458447,False,44;46;45;42;47,16ecb0f7ecebc514eb32d85d7fef80ebeb7290574dadf84a5389d5c135ddeab5
knn5,44,HND,5,0.36445899139303151,74.287335267182726,45.15807494547802,False,43;45;46;42;47,ff3836fd3d7c17a2544b56fc6de008ee18cbd46f5dd9ae270fe03d4ce35d4ad7
knn5,45,SLV,5,30.853305159885824,62.650105698232643,48.435571238764304,False,47;44;43;50;46,6acd601d2c5dc29e7b13081868a67054e4f5b5387356956af5b3c4582e7a6f58
knn5,46,HND,5,42.108398383431187,62.650105698232643,46.834121438853501,False,51;52;43;44;45,58a0c0f94dfb6f07c3239d8871928b683512e5ed1ad843bf87d3c737a8382ec8
knn5,47,SLV,5,30.853305159885824,74.287335267182726,50.034314563795,False,45;50;54;53;44,a3099c34ebe1bda50c97b99d24f8bc0159dce6f6a80e1ee5d462e4111fa75304
